Index,Message,Description,Message Abstract,Description Abstract
1,Delete check-legacy-links-format.yml (#12471),Remove the check-legacy-links-format.yml workflow. These checks are now included as part of our content conformance checks that run on PRs with documentation content changes.,Delete check-legacy-links-format.yml (#12471),Remove the check-legacy-links-format.yml workflow. These checks are now included as part of our content conformance checks that run on PRs with documentation content changes.
2,docs: add a paragraph on fingerprint generation (#12464)," docs: add a paragraph on fingerprint generation  Since version 1.9.0+ changed the way Packer generates fingerprints for HCP Packer, we add a small paragraph to explain how it used to be generated before, and how it changed in this version.  Apply suggestions from code review   Co-authored-by: Wilken Rivera wilken@hashicorp.com",docs: add a paragraph on fingerprint generation (#12464),"docs: add a paragraph on fingerprint generation Since version 1.9.0+ changed the way Packer generates fingerprints for HCP Packer, we add a small paragraph to explain how it used to be generated before, and how it changed in this version. Apply suggestions from code review Co-authored-by: Wilken Rivera wilken@hashicorp.com"
3,[COMPLIANCE] Add Copyright and License Headers,,[COMPLIANCE] Add Copyright and License Headers,
4,CHANGELOG: prepare for upcoming v1.9.2,,CHANGELOG: prepare for upcoming v1.9.2,
5,CHANGELOG: fix latest release version,,CHANGELOG: fix latest release version,
6,CHANGELOG: add changelog for v1.9.1,,CHANGELOG: add changelog for v1.9.1,
7,hcp: support HCP_PROJECT_ID environment variable,"With HCP supporting multi-projects now, Packer needs to take it into account when picking a project from an organisation. This commit adds two cases:   multiple projects are defined, none is supplied through    HCP_PROJECT_ID: in this case we will default to the oldest project    defined for the organisation.   we supply HCP_PROJECT_ID: in this case, we pick the project with the    corresponding ID, and use it for publishing metadata. ",hcp: support HCP_PROJECT_ID environment variable,"With HCP supporting multi-projects now, Packer needs to take it into account when picking a project from an organisation. This commit adds two cases: multiple projects are defined, none is supplied through    HCP_PROJECT_ID: in this case we will default to the oldest project    defined for the organisation. we supply HCP_PROJECT_ID: in this case, we pick the project with the    corresponding ID, and use it for publishing metadata."
8,CHANGELOG: add advisory on multiproject support,"On HCP, multiproject support was GA'd recently, but Packer does not support the feature yet. To avoid clients being surprised if they encounter an error with this feature enabled, we add an advisory related to this feature not being supported for now, but planned for later.",CHANGELOG: add advisory on multiproject support,"On HCP, multiproject support was GA'd recently, but Packer does not support the feature yet. To avoid clients being surprised if they encounter an error with this feature enabled, we add an advisory related to this feature not being supported for now, but planned for later."
9,version: prepare for 1.10.0 releases,,version: prepare for 1.10.0 releases,
10,changelog: update for release 1.9.0,,changelog: update for release 1.9.0,
