Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Updated translation template.,0.8225247,Updated translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: link/",1
2,Release 3.6.1 (#1566),0.5289179,AppCenter 0.2.6 is out!,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: link/",0
3,Add recent changes to appdata (#1209),0.66971576,Update application details when changes happen outside of AppCenter,Currently translated at 100.0% (263 of 263 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
4,Release 3.2.2 (#1225),0.5690049,appcenter 3.2.0 is out! ,,0
5,Create CODE_OF_CONDUCT.md (#337),0.41582817,* Add conditional compilation for disabling dynamic remote homepage content,meson: Add flags for backends Use flags to enable PackageKit and Ubuntu  Driver functions BackendInterface: Remove unused code MainWindow: Update label early CI: Add job to build AppCenter Flatpak-only CI: Fix add job to build AppCenter Flatpak-only Update src/Core/Package.vala Homepage: Only load placeholder banner if packagekit is enabled Co-authored-by: Ryan Kornheisl ryan@skarva.tech,0
6,Translated using Weblate (Kurdish),0.60838073,- Updated translations,Currently translated at 93.9% (247 of 263 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
7,Release 0.2.3,0.61736906,appcenter 3.2.0 is out! ,Currently translated at 93.9% (247 of 263 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
8,Show version of update when an update is available,0.74430513,* Present update availability more accurately,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: link/",1
9,Fix badge color in dark style (#1408),0.67903316,Improve update badge styling and category styling,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: link/",0
10,Use a single Hdy.Deck for navigation (#1874),0.4471928,Rewritten navigation with multitouch gestures to go back,,0
11,Translated using Weblate (Danish),0.6293684,- Updated translations,,0
12,Check for null window before updating its content (#719),0.522545,Manually check for new updates,Currently translated at 100.0% (46 of 46 strings) Translation: AppCenter/AppCenter (Extra) Translate-URL: link/,0
13,CategoryFlowBox: fix margins (#1681),0.55065894,CategoryView: Fix crash by @meisenzahl in link,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
14,Clear Packages.installed_packages on successful remove (#785),0.56450075,"Fully uninstall Flatpaks, including locales",Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
15,AbstractAppList: Remove sort func (#1911),0.4875084,FlatpakBackend: Sort stable apps in XML first by @davidmhewitt in link,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
16,Show screenshot in real-size (#678),0.64924216,"Screenshot carousels fill the width of the window, showing more screenshots at once",,0
17,Client:,0.43532407,FlatpakBackend: Handle transaction success state correctly by @davidmhewitt in link,Currently translated at 94.6% (250 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
18,Translated using Weblate (漢語（正體字）),0.5668194,- Updated translations,Currently translated at 94.6% (250 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
19,Merge pull request #50 from pop-os/readme-cleanup,0.45256123,FlatpakBackend: Sort stable apps in XML first by @davidmhewitt in link,Currently translated at 94.6% (250 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
20,Translated using Weblate (Dutch),0.61511743,- Updated translations,Currently translated at 90.9% (240 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
21,BACKERS.md: Add Berger Rudolf,0.46733606,Pretty output Flatpak package origins by @meisenzahl in link,Currently translated at 90.9% (240 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
22,AbstractView: Use Deck instead of Stack (#1436),0.4422477,Ensure flatpak applications show in the category views,Currently translated at 34.7% (16 of 46 strings) Translation: AppCenter/AppCenter (Extra) Translate-URL: link/,0
23,BACKERS.md: add Sepehr Lajevardi,0.5721089,StripeDialog: Add translator comment by @davidmhewitt in link,Currently translated at 87.8% (232 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
24,Fix regression in button style,0.77469563,Improve styling and contrast of buttons,Currently translated at 87.8% (232 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
25,Add editorconfig file (#713),0.43186277,Update POTFILES by @ryonakano in link,Currently translated at 87.8% (232 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
26,Translated using Weblate (ab (generated)),0.6263071,- Updated translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: link/",0
27,Add an updates badge to the view switcher (#635),0.74367285,Clicking the updates badge in the header navigates to the updates view,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: link/",1
28,Add margin to updated grid; do not load screenshots if there are none,0.6101062,Show screenshot captions in a tooltip,Currently translated at 86.7% (229 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
29,Pull apt updates less frequently (#1790),0.6890986,* Present update availability more accurately,Currently translated at 86.7% (229 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
30,Count updating packages in header information (#236),0.6649442,Clicking the updates badge in the header navigates to the updates view,,0
31,Changed labels:,0.6248894,* Category graphics revamped,Currently translated at 85.6% (226 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
32,StripeDialog: move pay-what-you-can flow here (#1629),0.45483667,StripeDialog: Add translator comment by @davidmhewitt in link,Currently translated at 85.6% (226 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
33,"When viewing the apps in a specific category, it is now possible to use the search bar and search apps only in that category",0.6081363,Recently updated apps are shown at the top of category views,Currently translated at 85.6% (226 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
34,Core: set AppStream.FormatStyle to COLLECTION (#1845),0.5903555,Get brand colors from the AppStream standard so more apps are supported,,0
35,AppInfoView: Indicate multiplayer (#1673),0.48215914,"Only show ""Multiplayer"" badge for games",,0
36,Better Stripe Dialog (#396),0.51044613,StripeDialog: Add translator comment by @davidmhewitt in link,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
37,StripeDialog: Move privacy policy to secondary text (#1562),0.53534514,Fix missing privacy policy in payments dialog,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
38,Translated using Weblate (Romanian),0.6210762,- Updated translations,,0
39,MainWindow: message_dialog.present,0.5671867,Release notes are shown in a dialog,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
40,Pack action_stack after release stack (#536),0.39991125,AppCenter 0.2.6 is out!,Currently translated at 100.0% (46 of 46 strings) Translation: AppCenter/AppCenter (Extra) Translate-URL: link/,0
41,CSS: Education more chalkboardy (#908),0.4006312,More concise and consistent language,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
42,Translated using Weblate (Malay),0.63512313,- Updated translations,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
43,Backers: TNG Entertainment → TNG,0.4688586,"* New categories: Communication, Finance, Media Production",Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
44,Add open button to open apps from appcenter,0.68314105,Prevent AppCenter from opening on log in,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
45,add keywords to .desktop,0.50806415,Keyboard improvements,Currently translated at 96.9% (256 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
46,Fix update notifications (#421),0.68112814,Fix for notification not appearing when a restart is required,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
47,Translated using Weblate (Slovak),0.60478556,- Updated translations,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
48,AppInfoView: create accent provider per-view (#1872),0.59500945,An app's accent color is now shown behind screenshots,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
49,Release 0.2.5,0.59785223,AppCenter 0.2.2 is out!,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
50,Prevent application from hanging while loading app version,0.6396507,Don't show a warning dialog about apps from alt stores,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
51,fix category items (#402),0.5884287,Fix visual issues with category icons by @danirabbit in link,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
52,Translated using Weblate (Azerbaijani),0.60764563,- Updated translations,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
53,Release 3.2.1 (#1150),0.58918923,appcenter 3.2.0 is out! ,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
54,SearchView: Link to Flathub search where possible (#1780),0.84759235,Link to Flathub's search page when no search results are found,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: link/",1
55,Spelling: mimetype → media type (#1019),0.37874612,Pretty output Flatpak package origins by @meisenzahl in link,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: link/",0
56,Translated using Weblate (Kurdish (Central)),0.60679114,- Updated translations,,0
57,InstalledPackageRowGrid: ReleasesDialog subclass Granite.Dialog,0.5149863,PackageKitBackend: resolve addons in appstream pool by @danirabbit in link,,0
58,"Add several ""additional categories"" to Science (#752)",0.80039513,* Add Math to Science category,,1
59,uppercase labels in categoryitem,0.56260216,Categories show as a grid instead of a list,,0
60,Add pop-shop-casper package,0.5289135,Add support for Flatpak apps,Currently translated at 21.7% (10 of 46 strings) Translation: AppCenter/AppCenter (Extra) Translate-URL: link/,0
61,Fix the install_packages_async method in Client.vala,0.5333632,PackageKitBackend: resolve addons in appstream pool by @danirabbit in link,Currently translated at 69.8% (183 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
62,update styles again,0.6610706,Improve update badge styling and category styling,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: link/",0
63,Release 7.2.1 (#2010),0.57731456,AppCenter 0.2.7 is out!,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: link/",0
64,Fix warnings from Stripe dialog (#645),0.5447509,Fix visual issues with category icons by @danirabbit in link,,0
65,Encode Stripe data (#605),0.32957417,More reliably set the Dock badge number,Co-authored-by: Jeremy Wootten jeremy@elementaryos.org,0
66,Merge remote-tracking branch 'origin/master',0.38214993,Support system-wide Flatpak remotes,Currently translated at 26.0% (12 of 46 strings) Translation: AppCenter/AppCenter (Extra) Translate-URL: link/,0
67,Release 3.8.2 (#1734),0.59684986,appcenter 3.2.0 is out! ,Currently translated at 100.0% (262 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
68,Fix typo,0.45692664,Minor fixes,Currently translated at 100.0% (262 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
69,Hide apps from the Ubuntu repos (#1492),0.6281741,Fix an issue where some apps couldn't be uninstalled from the Applications Menu,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: link/",0
70,update translation template,0.7716968,Updated translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: link/",1
71,Fix changelog version,0.72544694,Full Changelog: link,,1
72,Rework action buttons,0.71965075,* Prevent action buttons from jumping around,Release 1.2.1 Update meson.build,1
73,Use granite label style constants (#710),0.48687494,Improve update badge styling and category styling,Currently translated at 100.0% (262 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
74,AppInfoView: Add background and caption to screenshots (#1878),0.73133194,Show screenshot captions in a tooltip,Currently translated at 66.0% (173 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
75,Reuse package objects on reload (#995),0.52452457,AppListUpdateView: Rewrite with ListStore by @danirabbit in link,Currently translated at 100.0% (46 of 46 strings) Translation: AppCenter/AppCenter (Extra) Translate-URL: link/,0
76,Release 3.0,0.64461863,appcenter 3.2.3 is out! ,Currently translated at 88.1% (231 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
77,Hide uninstall button on not installed apps.,0.7250624,Fix an issue where some apps couldn't be uninstalled from the Applications Menu,Currently translated at 17.1% (45 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
78,"Oops, re-use search_term variable",0.5939326,Improve search performance,Currently translated at 17.1% (45 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
79,Drivers: Ensure headers are installed for dkms drivers (#1615),0.67511123,Install Linux kernel headers for device drivers that use DKMS,Currently translated at 69.0% (181 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
80,Homepage: more accurate navigation (#1837),0.5633055,- Navigate banners on the home page with multitouch gestures,Currently translated at 1.5% (4 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
81,README.md: list dependencies (#121),0.43006635,Metainfo Improvements by @danirabbit in link,Currently translated at 66.4% (174 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
82,Move PackageKit operations to AsyncQueue/ThreadPool (#945),0.63483584,Make loading updates async from main AppCenter window by @meisenzahl in link,Currently translated at 85.4% (224 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
83,Show loading placeholder unless no results returned (#1260),0.508786,Mention Sideload when search returns no results,Currently translated at 37.7% (99 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
84,Update version in AppInfoView when update becomes available,0.677168,AppListUpdateView: Show when up to date by @danirabbit in link,Currently translated at 100.0% (262 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
85,Un-anonymize Matt Miller (#1374),0.34625626,Metainfo Improvements by @danirabbit in link,Currently translated at 88.5% (232 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
86,AppInfoView.vala:,0.6019018,App Info Page Improvements:,Currently translated at 75.5% (198 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
87,Get custom colors from appstream and set the appinfoview banner. (#127),0.7919587,Get brand colors from the AppStream standard so more apps are supported,Currently translated at 5.7% (15 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
88,Lookup PackageKit packages for the installed view in parallel (#1117),0.5556826,PackageKitBackend: resolve addons in appstream pool by @danirabbit in link,Currently translated at 93.8% (246 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
89,Backers: anon → Mehrad Mahmoudian,0.33672935,StripeDialog: Add translator comment by @davidmhewitt in link,Currently translated at 75.5% (198 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
90,SharePopover: Get appinfo for mailto (#1443),0.5474239,AppListUpdateView: Show when up to date by @danirabbit in link,Currently translated at 75.5% (198 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
91,Throw a dialog on failure (#1496),0.6322931,Show an error dialog if an installation fails,Currently translated at 70.2% (184 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
92,Arrow: use insensitive_bg_color (#1464),0.48056915,Fix visual issues with category icons by @danirabbit in link,Currently translated at 100.0% (46 of 46 strings) Translation: AppCenter/AppCenter (Extra) Translate-URL: link/,0
93,AppInfoView: use a flowbox for links (#1884),0.6146022,PackageKitBackend: resolve addons in appstream pool by @danirabbit in link,Currently translated at 24.4% (64 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
94,Translated using Weblate (Georgian),0.6332021,- Updated translations,Currently translated at 71.3% (187 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
95,AbstractAppContainer: move properties to PackageRow (#1575),0.5510725,PackageKitBackend: resolve addons in appstream pool by @danirabbit in link,Currently translated at 71.3% (187 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
96,Show newest changelog in the updates view (#445),0.7255022,Updates View Improvements:,Currently translated at 74.8% (196 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
97,Size information for Runtime Updates (#1957),0.78896475,Size information for Runtime Updates by @meisenzahl in link,Currently translated at 3.4% (9 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,1
98,Refactor progress callbacks to be backend agnostic (#980),0.5003954,FlatpakBackend: Handle transaction success state correctly by @davidmhewitt in link,Currently translated at 69.0% (181 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
99,Make the restart button appear in the InfoBar (#175),0.6086856,Fix for notification not appearing when a restart is required,Currently translated at 1.1% (3 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
100,Added new line between the ending bracket and the new code,0.4059165,Fix long origin comboboxes breaking the header layout,Currently translated at 63.3% (166 of 262 strings) Translation: AppCenter/AppCenter Translate-URL: link/,0
