Index,Message,Description,Message Abstract,Description Abstract
1,Bump version to: 7.15.11 [skip ci],,Bump version to: 7.15.11 [skip ci],
2,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
3,Merge pull request #419 from storybookjs/styled-link-props,export StyledLinkProps to allow Link to be extended,Merge pull request #419 from storybookjs/styled-link-props,export StyledLinkProps to allow Link to be extended
4,export StyledLinkProps to allow Link to be extended,,export StyledLinkProps to allow Link to be extended,
5,Bump version to: 7.15.10 [skip ci],,Bump version to: 7.15.10 [skip ci],
6,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
7,Merge pull request #418 from storybookjs/cardinal-color-prop,Adds countColor prop to Cardinal,Merge pull request #418 from storybookjs/cardinal-color-prop,Adds countColor prop to Cardinal
8,Adds countColor prop to Cardinal,,Adds countColor prop to Cardinal,
9,Bump version to: 7.15.9 [skip ci],,Bump version to: 7.15.9 [skip ci],
10,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
11,Merge pull request #417 from storybookjs/upgrade-emotion,Upgrade Storybook and Emotion dependencies,Merge pull request #417 from storybookjs/upgrade-emotion,Upgrade Storybook and Emotion dependencies
12,Upgrade Storybook and Emotion dependencies,,Upgrade Storybook and Emotion dependencies,
13,Bump version to: 7.15.8 [skip ci],,Bump version to: 7.15.8 [skip ci],
14,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
15,Allow hiding error message on Textarea,,Allow hiding error message on Textarea,
16,Bump version to: 7.15.7 [skip ci],,Bump version to: 7.15.7 [skip ci],
17,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
18,Merge pull request #414 from storybookjs/button-action-updates,ButtonAction updates,Merge pull request #414 from storybookjs/button-action-updates,ButtonAction updates
19,Bump version to: 7.15.6 [skip ci],,Bump version to: 7.15.6 [skip ci],
20,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
21,Fix the onClick behaviour,,Fix the onClick behaviour,
22,Fix button inside button,,Fix button inside button,
23,Prevent duplicate export of 'Link',,Prevent duplicate export of 'Link',
24,Brought back the new stories,,Brought back the new stories,
25,Remove loading state from ButtonAction,,Remove loading state from ButtonAction,
26,Update WithTooltip.tsx,,Update WithTooltip.tsx,
27,Bump version to: 7.15.5 [skip ci],,Bump version to: 7.15.5 [skip ci],
28,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
29,"Avoid React.FC, improve types and fix lint errors",,"Avoid React.FC, improve types and fix lint errors",
30,Use latest Storybook 7 RC,,Use latest Storybook 7 RC,
31,Bump version to: 7.15.4 [skip ci],,Bump version to: 7.15.4 [skip ci],
32,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
33,Fix types for optional fields on ProgressDots,,Fix types for optional fields on ProgressDots,
34,Bump version to: 7.15.3 [skip ci],,Bump version to: 7.15.3 [skip ci],
35,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
36,Include spreaded rest props in type definition,,Include spreaded rest props in type definition,
37,Bump version to: 7.15.2 [skip ci],,Bump version to: 7.15.2 [skip ci],
38,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
39,Change tooltip wrapper element to span to prevent nesting buttons,,Change tooltip wrapper element to span to prevent nesting buttons,
40,Bump version to: 7.15.1 [skip ci],,Bump version to: 7.15.1 [skip ci],
41,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
42,Use human readable numbers in Cardinal,,Use human readable numbers in Cardinal,
43,Export ButtonAction component,,Export ButtonAction component,
44,Bump version to: 7.15.0 [skip ci],,Bump version to: 7.15.0 [skip ci],
45,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
46,Merge pull request #412 from storybookjs/new-button-action,,Merge pull request #412 from storybookjs/new-button-action,
47,Fix issues + add more stories,,Fix issues + add more stories,
48,Update ButtonAction.tsx,,Update ButtonAction.tsx,
49,Fix line-height + loading state,,Fix line-height + loading state,
50,Create new ButtonAction component,,Create new ButtonAction component,
51,Bump version to: 7.14.0 [skip ci],,Bump version to: 7.14.0 [skip ci],
52,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
53,Merge pull request #410 from storybookjs/feta/sb7,Upgrade to Storybook 7,Merge pull request #410 from storybookjs/feta/sb7,Upgrade to Storybook 7
54,Fix more TS errors,,Fix more TS errors,
55,Fix TS typing issues,,Fix TS typing issues,
56,use node 16 accross the board,,use node 16 accross the board,
57,upgrade to node 16 in circle ci,,upgrade to node 16 in circle ci,
58,use staticDirs main.js property,,use staticDirs main.js property,
59,Upgrade to Storybook 7,,Upgrade to Storybook 7,
60,Bump version to: 7.13.2 [skip ci],,Bump version to: 7.13.2 [skip ci],
61,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
62,Merge pull request #408 from storybookjs/update-flow-icon,Update the flow image,Merge pull request #408 from storybookjs/update-flow-icon,Update the flow image
63,Update src/images/colored-icons/Flow.tsx,Co-authored-by: Gert Hengeveld info@ghengeveld.nl,Update src/images/colored-icons/Flow.tsx,Co-authored-by: Gert Hengeveld info@ghengeveld.nl
64,Update the flow image,,Update the flow image,
65,Bump version to: 7.13.1 [skip ci],,Bump version to: 7.13.1 [skip ci],
66,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
67,Merge pull request #407 from storybookjs/add-turbosnap-icon,"Add ""turbo"" icon for speed",Merge pull request #407 from storybookjs/add-turbosnap-icon,"Add ""turbo"" icon for speed"
68,"Add ""turbo"" icon for speed",,"Add ""turbo"" icon for speed",
69,Bump version to: 7.13.0 [skip ci],,Bump version to: 7.13.0 [skip ci],
70,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
71,Merge pull request #406 from storybookjs/update-browser-image,Update browser image with Edge instead of IE,Merge pull request #406 from storybookjs/update-browser-image,Update browser image with Edge instead of IE
72,Update browser image,,Update browser image,
73,Bump version to: 7.12.3 [skip ci],,Bump version to: 7.12.3 [skip ci],
74,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
75,Merge pull request #405 from storybookjs/cardinal-types,update cardinal types,Merge pull request #405 from storybookjs/cardinal-types,update cardinal types
76,make props that are not used mostly used in Cardinal optional,,make props that are not used mostly used in Cardinal optional,
77,update cardinal types,,update cardinal types,
78,Bump version to: 7.12.2 [skip ci],,Bump version to: 7.12.2 [skip ci],
79,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
80,Merge pull request #404 from storybookjs/remove-unused-components,Remove unused components,Merge pull request #404 from storybookjs/remove-unused-components,Remove unused components
81,Merge branch 'master' into remove-unused-components,,Merge branch 'master' into remove-unused-components,
82,Remove more unused components and assets,,Remove more unused components and assets,
83,Remove unused components,,Remove unused components,
84,Bump version to: 7.12.1 [skip ci],,Bump version to: 7.12.1 [skip ci],
85,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
86,Merge pull request #403 from storybookjs/avatar-loading,Ensure loading state is monochrome to fit into Chromatic & SB loading,Merge pull request #403 from storybookjs/avatar-loading,Ensure loading state is monochrome to fit into Chromatic & SB loading
87,Ensure loading state is monochrome to fit into Chromatic & SB loading,,Ensure loading state is monochrome to fit into Chromatic & SB loading,
88,Bump version to: 7.12.0 [skip ci],,Bump version to: 7.12.0 [skip ci],
89,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
90,Merge pull request #402 from storybookjs/update-fonts,Remove heaviest font-weight (black),Merge pull request #402 from storybookjs/update-fonts,Remove heaviest font-weight (black)
91,Remove font-weight: black from DS,,Remove font-weight: black from DS,
92,Bump version to: 7.11.1 [skip ci],,Bump version to: 7.11.1 [skip ci],
93,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
94,Merge pull request #401 from storybookjs/update/colors,Update colors in the design system to match SB 7.0,Merge pull request #401 from storybookjs/update/colors,Update colors in the design system to match SB 7.0
95,Updated glow animation color,,Updated glow animation color,
96,Bump version to: 7.11.0 [skip ci],,Bump version to: 7.11.0 [skip ci],
97,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
98,Merge pull request #399 from storybookjs/add-sun-and-moon-icons,"Add sun, moon, sideBySide, and stacked icons",Merge pull request #399 from storybookjs/add-sun-and-moon-icons,"Add sun, moon, sideBySide, and stacked icons"
99,Change text case of sidebyside,,Change text case of sidebyside,
100,Lightened border a touch,,Lightened border a touch,
101,Updated case of two variables to match the others,,Updated case of two variables to match the others,
102,Update bluelight and bluelighter,,Update bluelight and bluelighter,
103,Removed old comment,,Removed old comment,
104,Update drop shadow on CodeSnippets,,Update drop shadow on CodeSnippets,
105,Update tertiary and blueLight,,Update tertiary and blueLight,
106,Update TagItem,,Update TagItem,
107,Update colors in the design system to match SB 7.0,,Update colors in the design system to match SB 7.0,
108,"Add sun, moon, sideBySide, and stacked icons",,"Add sun, moon, sideBySide, and stacked icons",
109,Bump version to: 7.10.0 [skip ci],,Bump version to: 7.10.0 [skip ci],
110,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
111,Merge pull request #398 from storybookjs/linkedin-icon,add linkedIn icon,Merge pull request #398 from storybookjs/linkedin-icon,add linkedIn icon
112,add linkedIn icon,,add linkedIn icon,
113,Bump version to: 7.9.2 [skip ci],,Bump version to: 7.9.2 [skip ci],
114,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
115,Merge pull request #395 from storybookjs/fix-cardinal-types,type the size prop for Cardinal.defaultProps,Merge pull request #395 from storybookjs/fix-cardinal-types,type the size prop for Cardinal.defaultProps
116,type the size prop for Cardinal.defaultProps,,type the size prop for Cardinal.defaultProps,
117,Bump version to: 7.9.1 [skip ci],,Bump version to: 7.9.1 [skip ci],
118,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
119,Merge pull request #394 from storybookjs/feat/tooltip-sb7-root,feat(WithTooltip): support Storybook 7 root element,Merge pull request #394 from storybookjs/feat/tooltip-sb7-root,feat(WithTooltip): support Storybook 7 root element
120,feat(WithTooltip): support Storybook 7 root element,,feat(WithTooltip): support Storybook 7 root element,
121,Bump version to: 7.9.0 [skip ci],,Bump version to: 7.9.0 [skip ci],
122,Update CHANGELOG.md [skip ci],,Update CHANGELOG.md [skip ci],
