Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,"start to move playback stuff back into session, and re-do saved tests table",0.5607176,"feat: Make configurable ""Get Running Sessions"" #979",,0
2,show sauce and testobject logos in new session window,0.568141,Feature: Can run SauceConnect from user interface (#280),chore: remove sessions count from locale files chore: remove sessions count from RU locale file,0
3,chore: Update cross-env to the latest version 🚀 (#1092),0.49357635,Update translations,,0
4,feat: bunmp AD to 1.18.2 (#1580),0.5196191,feat: bump appium version to 1.19.0 beta,,0
5,Get rid of the obsolete squirrel stuff,0.31791645,Fix: Replace electron-builder autoupdater with Zeit Hazel server plus native updater (#435),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
6,Russian translations (#946),0.9339254,Russian translations (#843) (10d6c84),,1
7,Merge pull request #187 from appium/dpgraham-fix-spin-css,0.5069908,fix: getCurrentSessions for cloud providers using Basic Auth link,,0
8,Removed Immutable.js code,0.43688452,Feature: Can edit raw desired capabilities JSON string (#267),"change stop-server icon integrate gitpod install gitpod-electron dependencies Revert ""integrate gitpod"" This reverts commit b3d3633e1f980a4a259917299952a24e42f582c2. Revert ""install gitpod-electron dependencies"" This reverts commit 3727117c67f646a5490de959856008f906a67cc6. change stop icon to square",0
9,Add way to select overlapped behind views of Screenshot component (#813),0.5668572,Add Web(View) notification in Selected Element: #1438,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
10,Windows updater fixes (#89),0.57547504,Fix: Upgraded to Appium 1.7.1 (previously was 1.7.0),,0
11,make configurable get running sessions path (#979),0.82869726,"feat: Make configurable ""Get Running Sessions"" #979",,1
12,Add badges and release instructions to README.md,0.40614593,"feat: Make configurable ""Get Running Sessions"" #979",Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
13,Update electron-updater to the latest version 🚀 (#723),0.8312532,Update Electron to version 3.0.3 (link) (#661),Better colorization & iconography in console Added colorization to console to help distinguish type of message Fixed logLevel not being honored Fixed icons to distinguish log level Removed silly in leveler Use colorized console string from appium instead of colorizing them ourselves Fixing output of logs with color Remove commented code Fix lint issue,1
14,ci: tweak various properties to get apps bundled separately,0.503626,Runs an  Appium Server with user-specified settings,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
15,Can set args,0.4484254,"Fix defect that made ""object"" args not work for capabilities (ef2ff5d)",Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
16,Update eslint-config-appium to the latest version 🚀 (#800),0.74843204,Update Appium to 1.12.1,Update CONTRIBUTING.md and add ability to decrease and increase font size of console Small fix for duplicate ID,1
17,Update dependencies to enable Greenkeeper 🌴 (#551),0.5267471,Fix: Replace electron-builder autoupdater with Zeit Hazel server plus native updater (#435),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
18,fix recorder css and add docs for recorder,0.99057394,Fix: Recorder css and add docs for recorder,Bumps sinon from 11.1.2 to 14.0.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sinon   dependency-type: direct:development   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
19,refactor: bring in gui-libs dep and use it to generate babel config,0.4557147,Fix: Replace electron-builder autoupdater with Zeit Hazel server plus native updater (#435),Bumps react-i18next from 11.16.2 to 11.18.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: react-i18next   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Kazuaki Matsuo fly.49.89.over@gmail.com,0
20,Increase timeout of package-ci to 30 minutes,0.56662464,Bump up no new command limit to 24 hours #902,Bumps i18next from 20.6.1 to 21.9.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: i18next   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
21,Initial commit,0.2887105,This beta includes:,Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
22,Add tooltips to caps buttons (#268),0.5957686,Feature: Add interactive swipe and tap (#260),Co-authored-by: KazuCocoa KazuCocoa@users.noreply.github.com,0
