Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
ci(integration): add colors to turbo run invocation (#5326),0.66266644,Add options for forcing color/no-color by @thebanjomatic in https://github.com/vercel/turborepo/pull/990,"We can add --color flag for the turbo invocation. We previously did not do this, because we were doing it with an environment variable and it was filtering down to the tests themselves. but using a flag does not do that.",0
feat(turborepo): Add context to glob errors (#5323),0.7970403,Plumb through errors in globbing.  by @nathanhammond in https://github.com/vercel/turborepo/pull/1129,Co-authored-by: Greg Soltis ,1
Fix ESLint script command. (#5322),0.56663483,chore(eslint): fix cwd check for eslint@<6.6.0 (#2848) by @nathanhammond in https://github.com/vercel/turbo/pull/2848,"ESLint needs you to tell it the directory it will run in. If you don't, it will silently do nothing, making it look like your script passed with no errors (at least unless you're really paying attention).",0
"feat(logging): add ""auto"" options for log prefixing and ordering (#5320)",0.6642356,feat(docs): update output-logs options (#3266) by @tknickman,"This option will allow us to use heuristics like being in some CI environments to make decisions about how to display logs without any user interventions. For example, when GITHUB_ACTIONS env var is set, we can change the prefixes to use the log grouping mechanism Github provides. For --log-prefix , since ""auto"" becomes the default, also add ""task"", so it's possible to lock behavior to how it is now and prevent any automatic behavior from Turbo.",0
refactor(turborepo): cli::run and args processing (#5297),0.7613727,chore(turborepo): drop deprecated run flags (#2992) by @chris-olszewski in https://github.com/vercel/turbo/pull/2992,"Description The cli::run function is pretty confusing and had a bug where --skip-infer would accidentally pass a relative path to the Go code and cause an error. I refactored this by moving all of the mutation to the end of the function so we can validate the different code paths a little easier. In the future we should do a scheme where Args is parsed into a separate struct with all of the fields properly validated and normalized. This also moves LogTag so that if we encounter an error with constructing a CommandBase, we error instead of segfaulting. Testing Instructions  Co-authored-by: --global ",1
fix(turborepo): Re-enable some tests on windows (#5319),0.7121997,fix(turborepo): Fixed test by killing process when test is done by @NicholasLYang in https://github.com/vercel/turbo/pull/4887,Co-authored-by: Greg Soltis ,1
remove __internal_nextjs_integration_test compile-time feature (#5295),0.71016645,test(integration): update next.js to latest (#3055) by @kwonoj,,1
feat(cli): Add ability to pass --remote-only=false from CLI (#5317),0.5464392,Implement  --remote-only by @gaspar09 in https://github.com/vercel/turborepo/pull/969,The flag will take precedence over the env var.,0
feat(logging): enable setting log order with an environment variable (#5316),0.63147426,feat(docs): update output-logs options (#3266) by @tknickman,,0
ci: replace sponge usage with jq (#5315),0.43757957,Improve CI setup by @mehulkar in https://github.com/vercel/turborepo/pull/1904,,0
feat(run outline): Hide package graph internals (#5310),0.48791176,Handle unknown package in graph traversal by @gsoltis in https://github.com/vercel/turborepo/pull/1043,Description Slight refactor to hide internals of the package graph and instead have the CompleteGraph hold a reference to the entire package graph and use methods to query the required information. I intend for WorkspaceCatalog to get lazily built by CompleteGraph as it is used during the execution of run. There are a few clippy fixes in this as well 😄  Testing Instructions 👀  Co-authored-by: Chris Olszewski ,0
feat(turborepo): A few cleanup nits around log grouping (#5312),0.5979662,Remove prefixes from stored logs by @mehulkar in https://github.com/vercel/turborepo/pull/2126,Co-authored-by: Greg Soltis ,0
release(turborepo): 1.10.4-canary.3 (#5313),0.8780446,release(turborepo): 1.10.4-canary.2 by @github-actions in https://github.com/vercel/turbo/pull/5286,Co-authored-by: Turbobot turbobot@vercel.com,1
Add --log-order option (#3916),0.66705364,feat(docs): update output-logs options (#3266) by @tknickman,Co-authored-by: Rafael  Co-authored-by: Mehul Kar mehul.kar@vercel.com,0
feat(turborepo): Hash with libgit2 (#5309),0.9224125,feat(turborepo): Hash with libgit2 by @gsoltis in https://github.com/vercel/turbo/pull/5309,Co-authored-by: Greg Soltis ,1
feat(cache): Add ability to disable remote cache from turbo.json (#5305),0.94775087,feat(cache): Add ability to disable remote cache from turbo.json by @mehulkar in https://github.com/vercel/turbo/pull/5305,,1
fix(turbopack): enable runtime flag (#5253),0.78256786,chore(turborepo): drop deprecated run flags (#2992) by @chris-olszewski in https://github.com/vercel/turbo/pull/2992,Description Minor fix to enable features.,1
