Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
ci: create proper DMG through package.json (#113),0.69397545,- feat(ci): generate DMG rather than ZIP," Updated package.json to build proper DMG  electron-builder v22 -> v23 to fix builds on macOS 12.3+   Made sure to use Python3 when building for future-proofing   (Re-)Update dependencies accidentally downgraded   Fix universal macOS builds, testing fixed workflow   Remove extra x86/ARM-only builds for macOS   Update checkout@v2 -> checkout@v3   Remove Linux ia32 build because Electron isn't available for ia32 (This would prevent you from building the Linux version at all)   Clean up Linux workflow (uses new upload-artifact@v3 featuers)   Polish Linux/Windows workflows   Fix Windows workflow not publishing instaler   Update actions to Node.js 16 in publism.yml   Quick change, publish the Windows Appx builds   I seem to have forgotten a single backslash ",0
merge: pull request #123 from xhayper/patch-1,0.4293946,Bug fixes and clean up:,close https://github.com/revoltchat/desktop/issues/116,0
ci: synced local '.github/workflows/triage_pr.yml' with remote 'workflows/triage_pr.yml',0.32161635,- Automate CI for publishing new releases.,[skip ci],0
ci: synced local '.github/workflows/triage_issue.yml' with remote 'workflows/triage_issue.yml',0.32039177,- Automate CI for publishing new releases.,[skip ci],0
remove: pacman build,0.26907736,- Fix AppX icons,,0
fix: linux build,0.40821755,- fix: artifact like shapes on start (https://github.com/revoltchat/desktop/pull/57),,0
fix: macOS not showing BG,0.3753974,This release actually includes a DMG build for macOS.,,0
fix: revolt-desktop appearing instead of Revolt,0.5433507,- fix: artifact like shapes on start (https://github.com/revoltchat/desktop/pull/57),,0
feat: add node: prefix to node package,0.32789558,- feat: add spell check,,0
feat: update yarn & make dmg file build with background by default,0.47529045,- feat(ci): generate DMG rather than ZIP,,0
fix: a bug with clicking icon in dock,0.48513734,- fix: wrong app icon (#95),,0
feat: improvment to package (read desc),0.3817054,- feat: add spell check,,0
"revert: ""ci: new publish workflow (#106)"" (#112)",0.45008808,- Automate CI for publishing new releases.,,0
chore: update publish.yml,0.4457898,- Automate CI for publishing new releases.,,0
chore: update commit hash,0.27610248,- Automate CI for publishing new releases.,,0
fix: restart from tray icon (closes #87),0.8780937,- fix: restart from tray icon,,1
fix: correctly restore from tray on 2nd start,0.82975924,- fix: correctly restore from tray icon on second instance start,,1
fix: wrong app icon (#95),0.98866117,- fix: wrong app icon (#95),,1
ci: new publish workflow (#106),0.70736516,- Automate CI for publishing new releases.,,1
chore: bump version,0.31598455,Bug fixes and clean up:,,0
feat: use monochrome tray icon and fix tray icon on macOS (Fixes #88) (#91),0.965489,- feat: use monochrome tray icon and fix tray icon on macOS (#91),,1
fix: use getConfig() instead of store.getConfig,0.8808489,- fix: use getConfig() instead of store.getConfig to prevent error on quit,closes #86,1
chore: add dmg build to release CI [skip ci],0.61286604,- feat(ci): generate DMG rather than ZIP,,0
chore: replace discord-rpc dependency,0.68222696,- Update Discord RPC,,0
feat: add restart button to tray icon,0.7789496,- fix: restart from tray icon,,1
feat: update background for dmg,0.45374936,- feat(ci): generate DMG rather than ZIP,,0
feat(ci): generate a DMG rather than a ZIP (#57),0.9016983,- feat(ci): generate DMG rather than ZIP,  New DMG workflow for macOS   Trying new icons   Reverted icon changes ,1
feat: add spell check,0.9423592,- feat: add spell check,,1
fix: correct icon bundling,0.7684762,- fix: bundle window icon correctly,,1
"feat: handle ""CTRL + ="" for zoom",0.72731775,"- feat: allow zooming in with ""CTRL + ="" (https://github.com/revoltchat/desktop/issues/8)",closes #8,1
feat: add background colour to window,0.3436967,- feat: use monochrome tray icon and fix tray icon on macOS (#91),closes #14,0
feat: tray icon / minimise to tray config,0.79799736,- feat: allow minimising the app to the tray,closes #2 closes #63 closes #40 closes #17,1
feat: only allow one instance / fmt code,0.49112833,- feat: prevent launching multiple instances (https://github.com/revoltchat/desktop/issues/82),closes #82,0
fix: use electron17,0.36851484,- fix: artifact like shapes on start (https://github.com/revoltchat/desktop/pull/57),,0
fix: switch to ts-ignore from ts-expect-error,0.31930706,- fix: use getConfig() instead of store.getConfig to prevent error on quit,,0
fix(ci): always run and on tag,0.35884628,Bug fixes:,,0
chore(ci): passthrough token,0.19379158,- feat(ci): generate DMG rather than ZIP,,0
chore(ci): try to publish through CI,0.5496636,- Automate CI for publishing new releases.,,0
fix: update URL in RPC,0.50859976,- Update Discord RPC,,0
fix: remove windows-specific dependency,0.3454204,- Windows (Setup) (has auto-updates),,0
fix: move appx icons to correct directory,0.8140839,- Fix AppX icons,,1
chore: enable yarn berry,0.20837575,- fix: artifact like shapes on start (https://github.com/revoltchat/desktop/pull/57),,0
chore: switch to yarn v3 (#71),0.27559805,- fix: artifact like shapes on start (https://github.com/revoltchat/desktop/pull/57),,0
fix(readme): don't include submodules for start,0.33391374,- feat: prevent launching multiple instances (https://github.com/revoltchat/desktop/issues/82),,0
fix: missing taskbar icon and fixed name in notifications (#54),0.55100024,- fix: wrong app icon (#95),,0
ci: Synced local '.github/workflows/triage_pr.yml' with remote 'workflows/triage_pr.yml',0.32161635,- Automate CI for publishing new releases.,,0
docs: Update Readme format to be consistent with other Revolt projects (#51),0.35679296,"If you are on Arch Linux, install revolt-desktop-git.",,0
feat(ci): add workflow for auto-compiling (#44),0.53905416,- Automate CI for publishing new releases.,,0
ci: Created local '.github/workflows/triage_pr.yml' from remote 'workflows/triage_pr.yml',0.33078194,- Automate CI for publishing new releases.,,0
ci: Synced local '.github/workflows/triage_issue.yml' with remote 'workflows/triage_issue.yml',0.32039177,- Automate CI for publishing new releases.,,0
ci: update global workflows (#45),0.46375853,- Automate CI for publishing new releases.,Co-authored-by: web-flow noreply@github.com,0
"Add LICENSE, closes #23.",0.21015656,- Windows (Setup) (has auto-updates),,0
"Toggle RPC, closes #26.",0.39867488,- Update Discord RPC,,0
Merge pull request #21 from KeepSOBP/patch-1,0.40812927,Bug fixes and clean up:,,0
Rename from Private to Public beta,0.2858276,- Automate CI for publishing new releases.,,0
Bump version.,0.32680914,- Linux (AppImage) (has auto-updates),,0
Add auto updater.,0.42585662,- Linux (AppImage) (has auto-updates),,0
Fix version.,0.5434871,Bug fixes:,,0
"Not having a good time, this is the last one.",0.14028685,nan,,0
Remove artifact.,0.51989543,- fix: artifact like shapes on start (https://github.com/revoltchat/desktop/pull/57),,0
Add version back.,0.36627218,- fix: wrong app icon (#95),,0
Update scripts.,0.4132437,- Update Discord RPC,,0
Add Discord RPC.,1.0000002,Add Discord RPC.,Add hardware acceleration toggle.,1
Update pkgbuild.,0.3422135,- Linux (AppImage) (has auto-updates),,0
Add min size and remember changes.,0.3538556,- Change default settings,,0
Add submodule file.,0.2191916,Add Discord RPC.,,0
Temporarily remove.,0.27883834,Bug fixes and clean up:,,0
Contributor line is not needed apparently.,0.24369884,Note: assets marked as DO_NOT_USE have not been tested and likely won't work,,0
Add contributor tag.,0.37996048,Add Discord RPC.,,0
Fix shell script file name.,0.25568455,- fix: wrong app icon (#95),,0
Finalise(?) PKGBUILD for revolt-desktop-git,0.609804,"If you are on Arch Linux, install revolt-desktop-git.",,0
Update desktop entry and add launch script.,0.37684584,- feat: add a tray icon (https://github.com/revoltchat/desktop/issues/2),,0
Add desktop file.,0.47551936,- feat: add a tray icon (https://github.com/revoltchat/desktop/issues/2),,0
Attempt to create PKGBUILD and fix icons.,0.53545976,- Fix AppX icons,,0
Add AppX logos.,0.6482743,- Fix AppX icons,,0
Changes to AppX config,0.6248443,- Fix AppX icons,,0
Add publish scripts.,0.58664733,- Automate CI for publishing new releases.,,0
Update README,0.42067993,- Update Discord RPC,,0
Auto-start support and titlebar actions.,0.40522665,- fix: restart from tray icon,,0
Initial Commit,0.27531382,- Automate CI for publishing new releases.,,0
Test AppX.,0.42546195,- Fix AppX icons,,0
Initial Commit.,0.26319933,- Automate CI for publishing new releases.,,0
