Index,Message,Description,Message Abstract,Description Abstract
1,fix:fix conditional Typing in useSWRMutation to Allow Optional ExtraArg Without Explicitly Passing Undefined (#2666),  fix: add optional type   fix: delete unused test   fix: revert changes   type: add case with optional ExtraArgs   refactor: TriggerWithOptionalArgs -> TriggerWithOptionsArgs ,fix:fix conditional Typing in useSWRMutation to Allow Optional ExtraArg Without Explicitly Passing Undefined (#2666),fix: add optional type fix: delete unused test fix: revert changes type: add case with optional ExtraArgs refactor: TriggerWithOptionalArgs -> TriggerWithOptionsArgs
2,2.2.0-beta.2,,2.2.0-beta.2,
3,types: fix immutable export paths (#2670),,types: fix immutable export paths (#2670),
4,Fix mutation types order (#2669),,Fix mutation types order (#2669),
5,2.2.0-beta.1,,2.2.0-beta.1,
6,Add react-server bundle for core and infinite (#2664),,Add react-server bundle for core and infinite (#2664),
7,feat: improve preload and suspense integration (#2658),,feat: improve preload and suspense integration (#2658),
8,test: improve preload test (#2657),,test: improve preload test (#2657),
9,test: fix flaky suspense test in canary (#2655),  test: fix flaky suspense test in canary   chroe: fix lint ,test: fix flaky suspense test in canary (#2655),test: fix flaky suspense test in canary chroe: fix lint
10,fix: keepPreviousData should also work in suspense (#2649), fix: keepPreviousData should also works in suspense  set promise.status to fulfilled to prevent unnecessary fallback  chore: remove useless check,fix: keepPreviousData should also work in suspense (#2649),fix: keepPreviousData should also works in suspense set promise.status to fulfilled to prevent unnecessary fallback chore: remove useless check
11,fix: remove startTransition so mutation hook could update immediately (#2654),  fix: remove startTransition   chore: bump deps   test: add mutate server action test ,fix: remove startTransition so mutation hook could update immediately (#2654),fix: remove startTransition chore: bump deps test: add mutate server action test
12,ci: use script to bump semver version (#2651),,ci: use script to bump semver version (#2651),
13,fix: reset the error when mutate succeeded (#2592),Co-authored-by: Yixuan Xu yixuanxu94@outlook.com,fix: reset the error when mutate succeeded (#2592),Co-authored-by: Yixuan Xu yixuanxu94@outlook.com
14,fix: do unsubscribe synchronously (#2648),,fix: do unsubscribe synchronously (#2648),
15,2.2.1-beta.0,,2.2.1-beta.0,
16,2.2.0-beta.0,,2.2.0-beta.0,
17,ci: use gh token credentials for cloning repo (#2637),,ci: use gh token credentials for cloning repo (#2637),
18,ci: update github token (#2636),,ci: update github token (#2636),
19,build: fix release semver (#2630),,build: fix release semver (#2630),
20,build: fix bad runner (#2629),,build: fix bad runner (#2629),
21,build: fix equal signs (#2628),,build: fix equal signs (#2628),
22,build: use prepatch/minor/major command for prerelease (#2627),,build: use prepatch/minor/major command for prerelease (#2627),
23,ci: drop unused inputs and step (#2624),,ci: drop unused inputs and step (#2624),
24,types: improve useSWRMutation type. (#2604),"  types: improve trigger type, it should return Data instead of Data | undefined as default   types: adjust generic order   close #2477  add test case   Co-authored-by: Shu Ding g@shud.in",types: improve useSWRMutation type. (#2604),"types: improve trigger type, it should return Data instead of Data | undefined as default types: adjust generic order close #2477 add test case Co-authored-by: Shu Ding g@shud.in"
25,chore: upgrade to pnpm8 (#2605),  upgrade pnpm to 8   chore: upgrade codesandbox build env to node18   chore: upgrade codesandbox build env to node18   chore: use react/jsx-runtime   chore: format code   chore: upgrade playwright image version   fix failed test   chore: fix install problem   chore: update lockfile ,chore: upgrade to pnpm8 (#2605),upgrade pnpm to 8 chore: upgrade codesandbox build env to node18 chore: upgrade codesandbox build env to node18 chore: use react/jsx-runtime chore: format code chore: upgrade playwright image version fix failed test chore: fix install problem chore: update lockfile
26,build: determin release tag (#2616),,build: determin release tag (#2616),
27,build: add trigger release job (#2615),,build: add trigger release job (#2615),
28,ci: Add daily test job for react canary (#2601), ci: Add daily test job for react canary  Signed-off-by: suyanhanx suyanhanx@gmail.com   chore: fix failed test and make pnpm version is sync with packageManger   chore: cleanup    Signed-off-by: suyanhanx suyanhanx@gmail.com Co-authored-by: Yixuan Xu yixuanxu94@outlook.com,ci: Add daily test job for react canary (#2601),ci: Add daily test job for react canary Signed-off-by: suyanhanx suyanhanx@gmail.com chore: fix failed test and make pnpm version is sync with packageManger chore: cleanup Signed-off-by: suyanhanx suyanhanx@gmail.com Co-authored-by: Yixuan Xu yixuanxu94@outlook.com
29,feat: use React.use API (#2596),,feat: use React.use API (#2596),
30,test: add a new test setting to run tests with build files (#2583),test: add tests with build files,test: add a new test setting to run tests with build files (#2583),test: add tests with build files
31,2.1.5,,2.1.5,
32,fix: missing interop helpers in bundle (#2582),,fix: missing interop helpers in bundle (#2582),
33,2.1.4,,2.1.4,
34,fix: Fix dependency tracking and useSES bug (#2576),"  fix #2446   test: update compare test snapshot   test: adjust compare order, makes the snapshot easier to understand   add test case   refactor: update memorizedSanpshot without changing its reference  (#2577)   refactor: always use cacheRef   refactor: update memorizedSnapshot without change its reference   refactor: isEqual   revert example change   add comment    Co-authored-by: Yixuan Xu yixuanxu94@outlook.com",fix: Fix dependency tracking and useSES bug (#2576),"fix #2446 test: update compare test snapshot test: adjust compare order, makes the snapshot easier to understand add test case refactor: update memorizedSanpshot without changing its reference  (#2577) refactor: always use cacheRef refactor: update memorizedSnapshot without change its reference refactor: isEqual revert example change add comment Co-authored-by: Yixuan Xu yixuanxu94@outlook.com"
