Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
2.57.4,0.5426443,Reverted v2.35. It unfortunately had some crashes...,,0
Bump rpm version,0.5249573,Add rpm spec by @dusansimic in https://github.com/sindresorhus/caprine/pull/1896,,0
Add Apple Silicon support (#2015),0.7271459,Add Apple Silicon support by @dusansimic in https://github.com/sindresorhus/caprine/pull/2015,,1
Change nvm version to 18,0.49772385,Add nvmrc file by @Alex313031 in https://github.com/sindresorhus/caprine/pull/2017,,0
Add nvmrc file (#2017),0.6604654,Add nvmrc file by @Alex313031 in https://github.com/sindresorhus/caprine/pull/2017,Co-authored-by: Dušan Simić dusan.simic1810@gmail.com,0
Fix macOS ui (#2014),0.7185398,Fix macOS ui by @dusansimic in https://github.com/sindresorhus/caprine/pull/2014, Fix macOS traffic light buttons Fix draggable area,1
Drop EOL Windows versions,0.38992822,macOS: Drop support for macOS 10.9  23f69a5,,0
Bump verison in spec file,0.3698383,Bump Electron to 0.37.2.,,0
2.57.3,0.5514623,Reverted v2.35. It unfortunately had some crashes...,,0
Fix open link in new window again,0.50702465,External links are no longer incorrectly opened inside the chat window. https://github.com/sindresorhus/caprine/commit/ec73bb20aff07d8c07f2ebc883869c16d9f70de9,,0
Bump rpm spec version,0.55942786,Add rpm spec by @dusansimic in https://github.com/sindresorhus/caprine/pull/1896,,0
2.57.2,0.55985415,Reverted v2.35. It unfortunately had some crashes...,,0
Bump electron to v24,0.6757588,Bump Electron to 0.37.2.,,0
Fix open links in new window issue (#2007),0.5492183,Fix open links issue by @dusansimic in https://github.com/sindresorhus/caprine/pull/2007,,0
2.57.1,0.5748535,Reverted v2.35. It unfortunately had some crashes...,,0
Add .vscode directory to gitignore,0.17672916,Add maintainers in about dialog by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1874,,0
Fix hidden dialog issue (#2006),0.6945405,Fix hidden dialog issue by @dusansimic in https://github.com/sindresorhus/caprine/pull/2006,,0
2.57.0,0.56748986,Reverted v2.35. It unfortunately had some crashes...,,0
Update rpm spec,0.5857128,Add rpm spec by @dusansimic in https://github.com/sindresorhus/caprine/pull/1896,,0
Remove keyv from deps,0.39296305,deb,,0
"Revert ""Fix voice message duration text color in dark mode (#1959)""",0.7865483,Fix voice message duration text color in dark mode by @dusansimic in https://github.com/sindresorhus/caprine/pull/1959,This reverts commit 43f41e99a7e0d5fe4356057e2ac059203541bfc7.,1
Fix voice message duration text color in dark mode (#1959),0.9275762,Fix voice message duration text color in dark mode by @dusansimic in https://github.com/sindresorhus/caprine/pull/1959,,1
Fix new design user menu (#1910),0.80627316,Fix new design user menu by @dusansimic in https://github.com/sindresorhus/caprine/pull/1910,,1
Dark mode fixes (#1955),0.8229864,Fix dark mode (#1742)  25aee78,,1
Fix typos,0.55250317,Fix spell check languages (#1728)  734ba9b,,0
Bump Electron to 21,0.73703873,Bump Electron to 0.37.2.,,1
Temporary workaround for keyv ts definitions issue,0.3253899,Fix shortcuts by @dusansimic in https://github.com/sindresorhus/caprine/pull/1851,Keyv package should be removed from Caprine deps before next release (if the root cause of the issue is fixed) because it doesn't actually depend on it. This is there just to fix the issue with keyv ts type definitions not existing in keyv module.,0
Fix radio buttons & right sidebar search icon color in dark mode (#1948),0.89850736,Fix radio buttons & right sidebar search icon color in dark mode by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1948,,1
"Fix insert buttons (GIF, Sticker, Emoji, Files) shortcuts (#1947)",0.8855686,"Fix insert buttons (GIF, Sticker, Emoji, Files)",,1
Fix new room button shortcut (#1946),0.81206423,Fix new room button shortcut by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1946,,1
Fix dark mode icons (#1942),0.8254049,Fix dark mode icons by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1942,,1
CI: Use setup-node action for caching (#1941),0.7129842,CI: Use setup-node action for caching by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1941,Co-authored-by: Dušan Simić dusan.simic1810@gmail.com,1
Fix typo,0.53472227,Fix spell check languages (#1728)  734ba9b,,0
Fix create room icon color in dark mode (#1937),0.88966817,Fix create room icon color in dark mode by @jrafaelsantana in https://github.com/sindresorhus/caprine/pull/1937,Co-authored-by: Dušan Simić dusan.simic1810@gmail.com,1
"Fix ""Join room"" background button on dark theme (#1938)",0.89906734,"Fix ""Join room"" background button on dark theme by @jrafaelsantana in https://github.com/sindresorhus/caprine/pull/1938",Co-authored-by: Dušan Simić dusan.simic1810@gmail.com,1
Fix attachment and receiver pill background in dark mode (#1933),0.8977231,Fix attachment and receiver pill background in dark mode by @sfrunza13 in https://github.com/sindresorhus/caprine/pull/1933,Co-authored-by: stefanaz2 sfrunza@seneca.ca,1
Fix search close button color in dark mode (#1931),0.91026735,Fix search close button color in dark mode by @dusansimic in https://github.com/sindresorhus/caprine/pull/1931,,1
Fix custom css default file (#1903),0.734853,Fix custom css default file by @dusansimic in https://github.com/sindresorhus/caprine/pull/1903,Remove default custom styles,1
"Remove new ""Install Messenger app"" banner (#1899)",0.90178585,"Remove new ""Install Messenger app"" banner by @mquevill in https://github.com/sindresorhus/caprine/pull/1899",,1
Add rpm spec (#1896),0.607016,Add rpm spec by @dusansimic in https://github.com/sindresorhus/caprine/pull/1896,  Add rpm spec   Move addRepo.sh to deb package dir ,0
Readme: Fix APT repo instructions,0.4115693,Update Electron  19e0423 8ccc556,,0
Add script for automatic APT repo deployment,0.3909845,Enable auto-updates on Linux,,0
CI: Add Gemfury integration,0.35821074,Fix ci build step by @dusansimic in https://github.com/sindresorhus/caprine/pull/1872,,0
Completely remove old design code (#1893),0.691881,Remove all CSS related to old design,  Completely remove old design code   Fix lint   Remove new design mentions   Restore broken functions   Fix lint ,0
Merge css stylesheets (#1891),0.7275814,Merge css stylesheets by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1891,,1
"Set window title to ""Caprine"" (#1889)",0.9045568,"Set window title to ""Caprine"" by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1889",,1
Fix hidden and narrow sidebar,0.91090167,"Fix adaptive, hidden and narrow sidebar",,1
Readme: Fix APT repo commands,0.373471,Fix ci build step by @dusansimic in https://github.com/sindresorhus/caprine/pull/1872,Fixes #1888,0
Readme: Fix APT script link,0.4923984,Fix open links issue by @dusansimic in https://github.com/sindresorhus/caprine/pull/2007,,0
2.56.1,0.49961132,Reverted v2.35. It unfortunately had some crashes...,,0
Bump dependencies,0.6011604,Dependencies,,0
CI: A few tweaks,0.39674065,UI improvements  376f9e4 56aa0f8 6216509 10c78ac 39c9ae9 f8ff710,,0
CI: Major restructuring,0.3326319,User-interface improvements (#757)  93d0a1b,,0
Various improvements to readme (#1885),0.54963595,User-interface improvements (#757)  93d0a1b,"  Update readme.md   Update readme.md   Update readme.md   Update readme.md   Update readme.md   Update readme.md   Update readme.md   Update readme.md   Update Arch Linux maintainer   Remove the word ""Fedora"" from Copr   AppImage, Flatpak & Snap are not universal   Finalize Gemfury implementation   Add instructions for openSUSE   Add Chocolatey installation method   Fix APT list name   Co-authored-by: Dušan Simić dusan.simic1810@gmail.com Co-authored-by: Dušan Simić dusan.simic1810@gmail.com",0
Create new room (#1883),0.593794,Create new room by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1883," Add ""New Room"" option",0
Fix private mode (#1884),0.89303505,Fix private mode,  Fix private mode   Fix lint ,1
"Fix ""Find Conversation""",0.94131595,"Fix ""Find Conversation"" feature",,1
Dark mode: Fix radio buttons accent,0.71869904,"Dark mode fixes (top gap, icons, radio buttons' accent color)",,1
"Fix ""Show Message Buttons"" option (#1881)",0.9508022,"Fix ""Show Message Buttons"" option",  Fix CSS classes   Fix option not being applied after restart   Update css selectors to fix preferences modal   Co-authored-by: Dušan Simić dusan.simic1810@gmail.com,1
Remove code related to old design (#1879),0.7182872,Remove code related to old design by @lefterisgar in https://github.com/sindresorhus/caprine/pull/1879,  Remove code related to old design   Fix lint ,1
Dark mode: Fix top gap not being removed,0.6912018,"Dark mode fixes (top gap, icons, radio buttons' accent color)",,0
"Fix insert buttons (GIF, Sticker, Emoji, Files)",1.0000001,"Fix insert buttons (GIF, Sticker, Emoji, Files)",,1
