Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
chore(deps-dev): bump webpack from 5.86.0 to 5.87.0 (#3855),0.7406634,Note: Version bump only for package webpack-cli,Bumps webpack from 5.86.0 to 5.87.0. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore(deps-dev): bump @babel/core from 7.22.1 to 7.22.5 (#3842),0.5841109,internal changes: removed flow and babel from the code base as it was giving serious problems with third party repositories,"Bumps @babel/core from 7.22.1 to 7.22.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@babel/core""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump sass from 1.63.3 to 1.63.4 (#3854),0.4713086,Note: Version bump only for package webpack-cli,Bumps sass from 1.63.3 to 1.63.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sass   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump @typescript-eslint/eslint-plugin (#3851),0.49327457,Note: Version bump only for package webpack-cli,"Bumps @typescript-eslint/eslint-plugin from 5.59.9 to 5.59.11. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/eslint-plugin""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump @typescript-eslint/parser from 5.59.9 to 5.59.11 (#3852),0.5353711,This release fixes the previous release. There were few missing files that were not published on npm,"Bumps @typescript-eslint/parser from 5.59.9 to 5.59.11. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/parser""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump @types/node from 18.16.17 to 18.16.18 (#3853),0.5353874,add the --node-env flag (#2388) (e5126f1),"Bumps @types/node from 18.16.17 to 18.16.18. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump webpack-dev-server from 4.15.0 to 4.15.1 (#3848),0.760283,Note: Version bump only for package webpack-cli,Bumps webpack-dev-server from 4.15.0 to 4.15.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: webpack-dev-server   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore(deps-dev): bump @types/node from 18.16.16 to 18.16.17 (#3847),0.5260239,Note: Version bump only for package webpack-cli,"Bumps @types/node from 18.16.16 to 18.16.17. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump sass from 1.63.2 to 1.63.3 (#3850),0.4674768,Note: Version bump only for package webpack-cli,Bumps sass from 1.63.2 to 1.63.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sass   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump sass-loader from 13.3.1 to 13.3.2 (#3849),0.45713896,Note: Version bump only for package webpack-cli,Bumps sass-loader from 13.3.1 to 13.3.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sass-loader   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore: .gitattributes updated to ignore .tpl files (#3846),0.38127124,internal changes: removed flow and babel from the code base as it was giving serious problems with third party repositories,,0
chore: fix eslint warnings (#3845),0.41245654,dependencies: fix vulnerabilities (#458) (3953648),,0
chore(deps-dev): bump @babel/register from 7.21.0 to 7.22.5 (#3843),0.54604506,internal changes: removed flow and babel from the code base as it was giving serious problems with third party repositories,"Bumps @babel/register from 7.21.0 to 7.22.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@babel/register""   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump @babel/preset-env from 7.22.4 to 7.22.5 (#3844),0.5762364,internal changes: removed flow and babel from the code base as it was giving serious problems with third party repositories,"Bumps @babel/preset-env from 7.22.4 to 7.22.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@babel/preset-env""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump sass from 1.62.1 to 1.63.2 (#3841),0.45458996,Note: Version bump only for package webpack-cli,Bumps sass from 1.62.1 to 1.63.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sass   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
docs: update changelog,0.6904628,"We switched to a better automation tool to generate the changelog. For this reason, we moved the old changelog here.",,0
chore(release): publish new version,0.44449657,Small release where it's now possible to add --output as destination folder,@webpack-cli/generators@3.0.7 webpack-cli@5.1.4,0
chore(deps-dev): bump @typescript-eslint/parser from 5.59.8 to 5.59.9 (#3839),0.53375155,This release fixes the previous release. There were few missing files that were not published on npm,"Bumps @typescript-eslint/parser from 5.59.8 to 5.59.9. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/parser""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
fix: multi compiler progress output,0.898626,multi compiler progress output (f659624),,1
chore(deps-dev): bump webpack from 5.85.0 to 5.85.1 (#3837),0.7565162,Note: Version bump only for package webpack-cli,Bumps webpack from 5.85.0 to 5.85.1. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore(deps-dev): bump @typescript-eslint/eslint-plugin (#3838),0.4823225,Note: Version bump only for package webpack-cli,"Bumps @typescript-eslint/eslint-plugin from 5.59.8 to 5.59.9. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/eslint-plugin""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump eslint from 8.41.0 to 8.42.0 (#3835),0.4355725,dependencies: fix vulnerabilities (#458) (3953648),Bumps eslint from 8.41.0 to 8.42.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: eslint   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
fix: regression for custom configurations (#3834),0.747733,regression for custom configurations (#3834) (bb4f8eb),,1
refactor: use type for types (#3832),0.2774001,ast: checks validity of an identifier (#360) (f42bdbd),,0
fix: improve check for custom webpack and webpack-dev-server package existance,0.95781934,improve check for custom webpack and webpack-dev-server package existance (0931ab6),,1
chore(deps-dev): bump @types/jest from 29.5.1 to 29.5.2 (#3825),0.5235829,Note: Version bump only for package webpack-cli,"Bumps @types/jest from 29.5.1 to 29.5.2. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/jest""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
fix: improved support for .cts and .mts extensions,0.77855194,improved support for .cts and .mts extensions (a77daf2),,1
chore(deps-dev): bump webpack-bundle-analyzer from 4.8.0 to 4.9.0 (#3829),0.6679236,Note: Version bump only for package webpack-cli,Bumps webpack-bundle-analyzer from 4.8.0 to 4.9.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: webpack-bundle-analyzer   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump typescript from 5.0.4 to 5.1.3 (#3828),0.5337784,Note: Version bump only for package webpack-cli,Bumps typescript from 5.0.4 to 5.1.3. - Release notes - Commits updated-dependencies: - dependency-name: typescript   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
ci: add Node.js v20 (#3739),0.6933201,use npm ci for tests (#367) (#368) (0de8a4e),,0
chore(deps-dev): bump webpack from 5.84.1 to 5.85.0 (#3826),0.7552928,Note: Version bump only for package webpack-cli,Bumps webpack from 5.84.1 to 5.85.0. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore(deps-dev): bump @commitlint/config-conventional (#3822),0.47635132,--entry should override config.entry (#155) (#358) (9026556),"Bumps @commitlint/config-conventional from 17.6.3 to 17.6.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@commitlint/config-conventional""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
docs: update issue template to refer to GitHub Discussions (#3824),0.4418246,"We switched to a better automation tool to generate the changelog. For this reason, we moved the old changelog here.",,0
chore(deps-dev): bump @commitlint/cli from 17.6.3 to 17.6.5 (#3823),0.5532745,Note: Version bump only for package webpack-cli,"Bumps @commitlint/cli from 17.6.3 to 17.6.5. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@commitlint/cli""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: Nitin Kumar snitin315@gmail.com",0
chore(deps-dev): bump @typescript-eslint/parser from 5.59.7 to 5.59.8 (#3821),0.53353614,This release fixes the previous release. There were few missing files that were not published on npm,"Bumps @typescript-eslint/parser from 5.59.7 to 5.59.8. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/parser""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump @typescript-eslint/eslint-plugin (#3820),0.48297662,Note: Version bump only for package webpack-cli,"Bumps @typescript-eslint/eslint-plugin from 5.59.7 to 5.59.8. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/eslint-plugin""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps): bump yeoman-environment from 3.18.4 to 3.19.3 (#3819),0.43414682,Note: Version bump only for package webpack-cli,Bumps yeoman-environment from 3.18.4 to 3.19.3. - Release notes - Commits updated-dependencies: - dependency-name: yeoman-environment   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump sass-loader from 13.3.0 to 13.3.1 (#3816),0.4514132,Note: Version bump only for package webpack-cli,Bumps sass-loader from 13.3.0 to 13.3.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sass-loader   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump @types/node from 18.16.15 to 18.16.16 (#3817),0.52706814,Note: Version bump only for package webpack-cli,"Bumps @types/node from 18.16.15 to 18.16.16. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump css-loader from 6.7.4 to 6.8.1 (#3818),0.5017921,Note: Version bump only for package webpack-cli,Bumps css-loader from 6.7.4 to 6.8.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: css-loader   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump @typescript-eslint/eslint-plugin (#3809),0.48209393,Note: Version bump only for package webpack-cli,"Bumps @typescript-eslint/eslint-plugin from 5.59.6 to 5.59.7. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/eslint-plugin""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump ts-loader from 9.4.2 to 9.4.3 (#3810),0.4680034,Note: Version bump only for package webpack-cli,Bumps ts-loader from 9.4.2 to 9.4.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ts-loader   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump @types/node from 18.16.14 to 18.16.15 (#3813),0.525988,Note: Version bump only for package webpack-cli,"Bumps @types/node from 18.16.14 to 18.16.15. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump webpack from 5.84.0 to 5.84.1 (#3814),0.7686674,Note: Version bump only for package webpack-cli,Bumps webpack from 5.84.0 to 5.84.1. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore(deps-dev): bump webpack from 5.83.1 to 5.84.0 (#3811),0.7604586,Note: Version bump only for package webpack-cli,Bumps webpack from 5.83.1 to 5.84.0. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore(deps): bump yeoman-environment from 3.18.3 to 3.18.4 (#3812),0.43440443,This release fixes the previous release. There were few missing files that were not published on npm,Bumps yeoman-environment from 3.18.3 to 3.18.4. - Release notes - Commits updated-dependencies: - dependency-name: yeoman-environment   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps): bump webpack-merge from 5.8.0 to 5.9.0 (#3808),0.7156079,Note: Version bump only for package webpack-cli,Bumps webpack-merge from 5.8.0 to 5.9.0. - Changelog - Commits updated-dependencies: - dependency-name: webpack-merge   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore(deps-dev): bump @typescript-eslint/parser from 5.59.6 to 5.59.7 (#3807),0.52863115,This release fixes the previous release. There were few missing files that were not published on npm,"Bumps @typescript-eslint/parser from 5.59.6 to 5.59.7. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/parser""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump sass-loader from 13.2.2 to 13.3.0 (#3806),0.44173014,Note: Version bump only for package webpack-cli,Bumps sass-loader from 13.2.2 to 13.3.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: sass-loader   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps): bump yeoman-generator from 5.8.0 to 5.9.0 (#3802),0.440507,Note: Version bump only for package webpack-cli,Bumps yeoman-generator from 5.8.0 to 5.9.0. - Release notes - Commits updated-dependencies: - dependency-name: yeoman-generator   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps): bump yeoman-environment from 3.18.2 to 3.18.3 (#3803),0.4272222,This release fixes the previous release. There were few missing files that were not published on npm,Bumps yeoman-environment from 3.18.2 to 3.18.3. - Release notes - Commits updated-dependencies: - dependency-name: yeoman-environment   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump @types/node from 18.16.13 to 18.16.14 (#3804),0.5258434,Note: Version bump only for package webpack-cli,"Bumps @types/node from 18.16.13 to 18.16.14. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump eslint from 8.40.0 to 8.41.0 (#3805),0.4366278,Note: Version bump only for package webpack-cli,Bumps eslint from 8.40.0 to 8.41.0. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: eslint   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps): bump yeoman-environment from 3.17.0 to 3.18.2 (#3801),0.42447993,This release fixes the previous release. There were few missing files that were not published on npm,,0
chore(deps-dev): bump @types/node from 18.16.12 to 18.16.13 (#3800),0.5272215,Note: Version bump only for package webpack-cli,"Bumps @types/node from 18.16.12 to 18.16.13. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump style-loader from 3.3.2 to 3.3.3 (#3799),0.48439482,"Version 3.1.2 fixes minor bugs, readme fixes and various of small regressions. ",Bumps style-loader from 3.3.2 to 3.3.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: style-loader   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump mini-css-extract-plugin from 2.7.5 to 2.7.6 (#3798),0.48752388,Note: Version bump only for package webpack-cli,Bumps mini-css-extract-plugin from 2.7.5 to 2.7.6. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: mini-css-extract-plugin   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump css-loader from 6.7.3 to 6.7.4 (#3797),0.50649804,Note: Version bump only for package webpack-cli,Bumps css-loader from 6.7.3 to 6.7.4. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: css-loader   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
fix: improve help for some flags,0.91457117,improve help for some flags (f468614),,1
chore(deps-dev): bump webpack from 5.82.1 to 5.83.1 (#3796),0.7649373,Note: Version bump only for package webpack-cli,Bumps webpack from 5.82.1 to 5.83.1. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore(deps-dev): bump @types/node from 18.16.10 to 18.16.12 (#3795),0.52956975,This release fixes the previous release. There were few missing files that were not published on npm,"Bumps @types/node from 18.16.10 to 18.16.12. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
docs: add GitHub discussions badge (#3787),0.37509108,Internal Documentation is added,,0
chore(deps-dev): bump webpack from 5.82.0 to 5.82.1 (#3785),0.7670109,Note: Version bump only for package webpack-cli,Bumps webpack from 5.82.0 to 5.82.1. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
chore(deps-dev): bump @typescript-eslint/eslint-plugin (#3791),0.4716605,Note: Version bump only for package webpack-cli,"Bumps @typescript-eslint/eslint-plugin from 5.59.5 to 5.59.6. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/eslint-plugin""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump @types/node from 18.16.9 to 18.16.10 (#3792),0.5323406,Note: Version bump only for package webpack-cli,"Bumps @types/node from 18.16.9 to 18.16.10. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps-dev): bump @typescript-eslint/parser from 5.59.2 to 5.59.6 (#3793),0.5260929,This release fixes the previous release. There were few missing files that were not published on npm,"Bumps @typescript-eslint/parser from 5.59.2 to 5.59.6. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@typescript-eslint/parser""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
chore(deps): bump yeoman-environment from 3.15.1 to 3.17.0 (#3794),0.4317118,This release fixes the previous release. There were few missing files that were not published on npm,Bumps yeoman-environment from 3.15.1 to 3.17.0. - Release notes - Commits updated-dependencies: - dependency-name: yeoman-environment   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
chore(deps-dev): bump @types/node from 18.16.6 to 18.16.9 (#3790),0.5330251,Note: Version bump only for package webpack-cli,"Bumps @types/node from 18.16.6 to 18.16.9. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com",0
test: fix serve errors on windows (#3784),0.4303583,"fix for extending tests to --json (@axe312ger, link)",,0
