Index,Release Note,Release Note Abstract
1,"
Load specific drivers before custom drivers to allow for extension. by @mattstauffer in https://github.com/laravel/valet/pull/1414
Ensure base configuration is correct even if file already exists by @mattstauffer in https://github.com/laravel/valet/pull/1415
","Load specific drivers before custom drivers to allow for extension. by @mattstauffer in link
Ensure base configuration is correct even if file already exists by @mattstauffer in link"
2,"
Install older PHP versions via alternate tap by @drbyte in https://github.com/laravel/valet/pull/1411
",Install older PHP versions via alternate tap by @drbyte in link
3,"
Add driver for Radicle by @csorrentino in https://github.com/laravel/valet/pull/1413
",Add driver for Radicle by @csorrentino in link
4,"
Fix ngrok.io proxy/forwarding detection by @drbyte in https://github.com/laravel/valet/pull/1404
Fix read non existing config file by @mischabraam in https://github.com/laravel/valet/pull/1398
","Fix ngrok.io proxy/forwarding detection by @drbyte in link
Fix read non existing config file by @mischabraam in link"
5,"
Fixes Valet\Drivers\LocalValetDriver not found error by @fylzero in https://github.com/laravel/valet/pull/1388
More robust check for Bedrock environments by @ethanclevenger91 in https://github.com/laravel/valet/pull/1390
","Fixes Valet\Drivers\LocalValetDriver not found error by @fylzero in link
More robust check for Bedrock environments by @ethanclevenger91 in link"
6,"Welcome to Valet v4! This release is mostly about re-writing the internals so they're easier to debug, fix, and modify. There are a few user-facing additions and improvements, including but not limited to: ngrok is now managed by Homebrew, .valetphprc is replaced with a more powerful .valetrc, you can use Expose to share, there's a new status command to make sure all your services are running correctly, and a lot of the other existing commands work even better than ever before.
Added

Add Expose support by @mattstauffer in https://github.com/laravel/valet/pull/1344 and https://github.com/laravel/valet/pull/1349
Add status command by @mattstauffer in https://github.com/laravel/valet/pull/1329
Check whether services are running as the correct user in valet status by @mattstauffer in https://github.com/laravel/valet/pull/1348
Add the ability for drivers to check Composer dependencies by @mattstauffer in https://github.com/laravel/valet/pull/1345
Add php isolation from link command by @joelbutcher in https://github.com/laravel/valet/pull/1360

Changed

Replace .valetphprc with .valetrc by @mattstauffer in https://github.com/laravel/valet/pull/1347
Update php and composer commands to allow passing in specific site by @mattstauffer in https://github.com/laravel/valet/pull/1370
Require PHP 8.0 to be installed, but support PHP 7.1+ for isolated sites (https://github.com/laravel/valet/pull/1328 and https://github.com/laravel/valet/pull/1346)
Re-work how BasicValetDriver serves files in projects with and without public/ directory by @mattstauffer in https://github.com/laravel/valet/pull/1311
Extract Server class and refactor loading of drivers by @mattstauffer in https://github.com/laravel/valet/pull/1319
Add type hints and return types by @mattstauffer in https://github.com/laravel/valet/pull/1321
Drop unnecessary doc blocks by @mattstauffer in https://github.com/laravel/valet/pull/1339
Add CLI command tests by @mattstauffer in https://github.com/laravel/valet/pull/1332 and https://github.com/laravel/valet/pull/1335
Implement valet fetch-share-url when working with Expose by @mattstauffer in 
Use Pint for Code Styling by @driesvints in https://github.com/laravel/valet/pull/1366
Release Version 4 by @mattstauffer in https://github.com/laravel/valet/pull/1318, https://github.com/laravel/valet/pull/1365

Fixed

Unsecure when unlinking by @mattstauffer in https://github.com/laravel/valet/pull/1364
Update phpRc reader to check cwd before checking config, if cwd specified by @mattstauffer in https://github.com/laravel/valet/pull/1361
Remove Valet Certificate Authority on uninstall by @mattstauffer in https://github.com/laravel/valet/pull/1358
","Welcome to Valet v4! This release is mostly about re-writing the internals so they're easier to debug, fix, and modify. There are a few user-facing additions and improvements, including but not limited to: ngrok is now managed by Homebrew, .valetphprc is replaced with a more powerful .valetrc, you can use Expose to share, there's a new status command to make sure all your services are running correctly, and a lot of the other existing commands work even better than ever before.
Added
Add Expose support by @mattstauffer in link and link
Add status command by @mattstauffer in link
Check whether services are running as the correct user in valet status by @mattstauffer in link
Add the ability for drivers to check Composer dependencies by @mattstauffer in link
Add php isolation from link command by @joelbutcher in link
Changed
Replace .valetphprc with .valetrc by @mattstauffer in link
Update php and composer commands to allow passing in specific site by @mattstauffer in link
Require PHP 8.0 to be installed, but support PHP 7.1+ for isolated sites (link and link)
Re-work how BasicValetDriver serves files in projects with and without public/ directory by @mattstauffer in link
Extract Server class and refactor loading of drivers by @mattstauffer in link
Add type hints and return types by @mattstauffer in link
Drop unnecessary doc blocks by @mattstauffer in link
Add CLI command tests by @mattstauffer in link and link
Implement valet fetch-share-url when working with Expose by @mattstauffer in 
Use Pint for Code Styling by @driesvints in link
Release Version 4 by @mattstauffer in link, link
Fixed
Unsecure when unlinking by @mattstauffer in link
Update phpRc reader to check cwd before checking config, if cwd specified by @mattstauffer in link
Remove Valet Certificate Authority on uninstall by @mattstauffer in link"
7,"
Valet version 4 by @mattstauffer in https://github.com/laravel/valet/pull/1318
",Valet version 4 by @mattstauffer in link
8,"Fixed

Enable local network sharing by @thinkverse in https://github.com/laravel/valet/pull/1284
","Fixed
Enable local network sharing by @thinkverse in link"
9,"Fixed

Make 127.0.0.1 SERVER_ADDR definition only if null by @mattstauffer in https://github.com/laravel/valet/pull/1356
","Fixed
Make 127.0.0.1 SERVER_ADDR definition only if null by @mattstauffer in link"
10,"Added

Add set-ngrok-token command by @mattstauffer in https://github.com/laravel/valet/pull/1325
Laravel v10 Support by @driesvints in https://github.com/laravel/valet/pull/1341

Fixed

Fixes permission denied check when result starts with 'Permission denied' by @matthewjohns0n in https://github.com/laravel/valet/pull/1343
","Added
Add set-ngrok-token command by @mattstauffer in link
Laravel v10 Support by @driesvints in link
Fixed
Fixes permission denied check when result starts with 'Permission denied' by @matthewjohns0n in link"
11,"Fixed

Fix how drivers are available for extension by @mattstauffer in https://github.com/laravel/valet/pull/1317
","Fixed
Fix how drivers are available for extension by @mattstauffer in link"
