Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
ci(integration): add colors to turbo run invocation (#5326),0.6598189,chore: switch turbo updater to use console for coloring (#3371) by @chris-olszewski,"We can add --color flag for the turbo invocation. We previously did not do this, because we were doing it with an environment variable and it was filtering down to the tests themselves. but using a flag does not do that.",0
feat(turborepo): Add context to glob errors (#5323),0.70025575,fix(turborepo): avoid globbing directories due to ancestor truncation by @gsoltis in link,Co-authored-by: Greg Soltis ,1
Fix ESLint script command. (#5322),0.70508224,chore(eslint): fix cwd check for eslint@<6.6.0 (#2848) by @nathanhammond in link,"ESLint needs you to tell it the directory it will run in. If you don't, it will silently do nothing, making it look like your script passed with no errors (at least unless you're really paying attention).",1
"feat(logging): add ""auto"" options for log prefixing and ordering (#5320)",0.6658661,feat(docs): update output-logs options (#3266) by @tknickman in link,"This option will allow us to use heuristics like being in some CI environments to make decisions about how to display logs without any user interventions. For example, when GITHUB_ACTIONS env var is set, we can change the prefixes to use the log grouping mechanism Github provides. For --log-prefix , since ""auto"" becomes the default, also add ""task"", so it's possible to lock behavior to how it is now and prevent any automatic behavior from Turbo.",0
refactor(turborepo): cli::run and args processing (#5297),0.7110063,chore(turborepo): drop deprecated run flags (#2992) by @chris-olszewski in link,"Description The cli::run function is pretty confusing and had a bug where --skip-infer would accidentally pass a relative path to the Go code and cause an error. I refactored this by moving all of the mutation to the end of the function so we can validate the different code paths a little easier. In the future we should do a scheme where Args is parsed into a separate struct with all of the fields properly validated and normalized. This also moves LogTag so that if we encounter an error with constructing a CommandBase, we error instead of segfaulting. Testing Instructions Co-authored-by: --global ",1
fix(turborepo): Re-enable some tests on windows (#5319),0.7412327,fix(turborepo): Fixed test by killing process when test is done by @NicholasLYang in link,Co-authored-by: Greg Soltis ,1
remove __internal_nextjs_integration_test compile-time feature (#5295),0.71016645,test(integration): update next.js to latest (#3055) by @kwonoj,,1
feat(cli): Add ability to pass --remote-only=false from CLI (#5317),0.666518,Implement  --remote-only by @gaspar09 in link,The flag will take precedence over the env var.,0
feat(logging): enable setting log order with an environment variable (#5316),0.6365671,feat(docs): update output-logs options (#3266) by @tknickman in link,,0
ci: replace sponge usage with jq (#5315),0.4266627,fix: make --dry=json jq and JSON.parse-friendly by @jaredpalmer in link,,0
feat(run outline): Hide package graph internals (#5310),0.49014843,Stop removing unreferenced packages before task graph construction by @gsoltis in link,Description Slight refactor to hide internals of the package graph and instead have the CompleteGraph hold a reference to the entire package graph and use methods to query the required information. I intend for WorkspaceCatalog to get lazily built by CompleteGraph as it is used during the execution of run. There are a few clippy fixes in this as well 😄  Testing Instructions 👀 Co-authored-by: Chris Olszewski ,0
feat(turborepo): A few cleanup nits around log grouping (#5312),0.522604,feat(turbo-ignore): update logging by @tknickman in link,Co-authored-by: Greg Soltis ,0
release(turborepo): 1.10.4-canary.3 (#5313),0.8386023,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com,1
Add --log-order option (#3916),0.69030607,Add --log-prefix=none option by @mehulkar in link,Co-authored-by: Rafael  Co-authored-by: Mehul Kar mehul.kar@vercel.com,0
feat(turborepo): Hash with libgit2 (#5309),0.94657123,feat(turborepo): Hash with libgit2 by @gsoltis in link,Co-authored-by: Greg Soltis ,1
feat(cache): Add ability to disable remote cache from turbo.json (#5305),0.9629754,feat(cache): Add ability to disable remote cache from turbo.json by @mehulkar in link,,1
fix(turbopack): enable runtime flag (#5253),0.75408566,fix(release): build turbo-ignore (#3452) by @tknickman,Description Minor fix to enable features.,1
ci(e2e): turn on remote caching for e2e tests (#5302),0.6193581,chore(ci): use remote cache for JS tests by @tknickman in link,"This should get us one step closer to running all our tests in a single job and allow turbo caching to save us time, rather than skipping with github ignore patterns",0
chore(turborepo): Use cargo-groups (#5272),0.6099535,chore: specify rust crates as inputs to building turborepo by @mehulkar in link,"Description Use cargo-groups to group turborepo and turbopack crates in the workspace. Also rearranged the test.yml workflow so that we have explicit turborepo/turbopack clippy jobs so we're not running clippy on everything all the time, and renamed a couple workflows accordingly. Testing Instructions Give a quick description of steps to test your changes. Co-authored-by: --global ",0
ci(examples): enable gatsby example test in CI (#4999),0.51925063,ci: test publish dry run by @arlyon,"Now that CI runs node 18, we can enable this test and see it pass.",0
chore(ci): use node 18 (#5301),0.6755851,chore(deps): update dependency @types/node to v18.11.10 (#2928) by @renovate[bot] in link,,0
update dependencies to sync with next.js (#5303),0.8707709,update dependencies to sync with next.js by @sokra in link,Description Preparation to release to next.js,1
chore(docs): Update to docs build to node 18 (#5030),0.7369673,chore(docs): update 1.7 OG image (#3295) by @tknickman,,1
docs(examples): update examples and docs to use node 18 (#5300),0.91056037,docs(examples): update examples and docs to use node 18 by @mehulkar in link,,1
feat(turborepo): Report more details when go-turbo exits (#5287),0.9499886,feat(turborepo): Report more details when go-turbo exits by @gsoltis in link,Description adds a little extra reporting on unix systems when go-turbo does not return an exit code Testing Instructions Co-authored-by: Greg Soltis ,1
chore: release npm packages,0.6203711,fix: correctly deserialize npm packages in lockfile by @chris-olszewski in link,@vercel/devlow-bench@0.1.3,0
fix turbo.json for publish script (#5293),0.7481757,fix(use correct serialization logic for turbo.json) (#3580) by @chris-olszewski,,1
rename build script to fit to publish script (#5292),0.48936582,Fix name of command in blog post (#3315) by @anthonyshew,,0
add tool to benchmark developer workflow performance (#5291),0.5291132,Run the benchmark after every release by @gsoltis in link,Description adds @vercel/devlow-bench package which can run a benchmark file,0
release(turborepo): 1.10.4-canary.2 (#5286),0.82999927,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com,1
feat(lockfiles): add rust implementation for yarn1 (#5255),0.958359,feat(lockfiles): add rust implementation for yarn1 by @chris-olszewski in link,Co-authored-by: Alexander Lyon arlyon@me.com Co-authored-by: Chris Olszewski ,1
feat(turborepo): Run outline pt 2 (#5203),0.8598325,feat(turborepo): Run outline pt 2 by @NicholasLYang in link,Description Refactors out task_graph and package_graph as top level modules. Also adds more global hash boilerplate. Testing Instructions Give a quick description of steps to test your changes. Co-authored-by: --global ,1
Synthesize --only (#5285),0.7303437,Synthesize --only by @gsoltis in link,Co-authored-by: Greg Soltis ,1
fix(spaces): read logs correctly when invoked from subdirectory (#5284),0.92908305,fix(spaces): read logs correctly when invoked from subdirectory by @mehulkar in link,"When running turbo  from a sub directory, the logFile is not sufficient to actual read the logs, because it is a relative path. We need to anchor it from the root of the repo.",1
release(turborepo): 1.10.4-canary.1 (#5283),0.82926583,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com,1
fix(turborepo): avoid globbing directories due to ancestor truncation (#5273),0.9439093,fix(turborepo): avoid globbing directories due to ancestor truncation by @gsoltis in link,Co-authored-by: Greg Soltis  Co-authored-by: Chris Olszewski chris.olszewski@vercel.com Co-authored-by: Nicholas Yang nicholas.yang@vercel.com,1
fix: Organise next.config.js redirect objects (#5198),0.7875358,add full next.js config (#3343) by @ForsakenHarmony,"Organise next.config.js redirect objects Description Organise next.config.js redirect objects to maintain consistent key order. ts {   source: ...,   destination, ...,   permanent: ..., }",1
docs: Link to Vercel from the Nav context menu (#4573),0.44960722,docs: Add Workspaces guide by @rafaeltab in link,Co-authored-by: Mehul Kar mehul.kar@vercel.com,0
release(turborepo): 1.10.4-canary.0 (#5278),0.8317542,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com,1
chore(turborepo): Move SCM to use vendored wax crate (#5277),0.94816184,chore(turborepo): Move SCM to use vendored wax crate by @NicholasLYang in link,"Description We should have everything use the vendored wax crate to avoid confusing issues. Also a prerequisite for #5272 because when we build all the turborepo crates, crates/turborepo-wax included, cargo gets confused about whether we mean the vendored wax crate or the upstream wax crate. Testing Instructions Give a quick description of steps to test your changes. Co-authored-by: --global ",1
fix(packages): update filter for JS tests (#5276),0.6028104,test(integration): update next.js to latest (#3055) by @kwonoj,,0
fix(turborepo): Fix path match for parent dir in subtree match case (#5275),0.9404487,fix(turborepo): Fix path match for parent dir in subtree match case by @gsoltis in link,Co-authored-by: Greg Soltis ,1
fix(turborepo): Tighten build globs (#5274),0.93080485,fix(turborepo): Tighten build globs by @gsoltis in link,Co-authored-by: Greg Soltis ,1
"feat(eslint-plugin-turbo): Support dotEnv, passthroughEnv, and wildcards (#5052)",0.6937532,fix(docs): update eslint-plugin-turbo README (#3186) by @LionC in link,Co-authored-by: Nathan Hammond  Co-authored-by: tknickman tom.knickman@vercel.com Co-authored-by: tknickman ,0
"Revert ""Using cargo-groups to group turborepo and turbopack crates. Also moved scm to vendored wax""",0.6611333,chore(turborepo): Move SCM to use vendored wax crate by @NicholasLYang in link,This reverts commit 1051b476c4a26a8617edecb6cd43a9b33334a05c.,0
Using cargo-groups to group turborepo and turbopack crates. Also moved scm to vendored wax,0.7221596,chore(turborepo): Move SCM to use vendored wax crate by @NicholasLYang in link,,1
feat(ci): conditionally set jest verbosity (#5271),0.931231,feat(ci): conditionally set jest verbosity by @tknickman in link,,1
Update .gitignore (#5269),0.784399,Update .gitignore by @ph55 in link,,1
update test runner (#5264),0.50959677,Add build script and update instructions to test locally (#3300) by @mehulkar,Description new next.js CI depends on these changes. It's running as root which requires no_sandbox Also updates the chromiumoxide dependency Testing Instructions Give a quick description of steps to test your changes.,0
feat(turborepo): port git-based hashing with inputs (#5251),0.9328552,feat(turborepo): port git-based hashing with inputs by @gsoltis in link,Co-authored-by: Greg Soltis  Co-authored-by: Chris Olszewski chris.olszewski@vercel.com,1
feat(examples): update basic name on docs (#5224),0.8541247,feat(examples): update basic name on docs by @tknickman in link,,1
release(turborepo): 1.10.3 (#5262),0.7860548,Turborepo 1.3,Co-authored-by: Turbobot turbobot@vercel.com Co-authored-by: Greg Soltis ,1
fix(gen): fix ts config interference (#5263),0.9012706,fix(gen): fix ts config interference by @tknickman in link,,1
"Docs: prior to run testcases, add guides to install dependencies for testcases. (#3090)",0.98719275,"Docs: prior to run testcases, add guides to install dependencies for testcases. by @92hackers in link",,1
Fix(Docs): Turbo customization docs broken link (#4883),0.7876989,"chore(docs): fix broken ""installing the turbo"" link by @KarnellSchultz in link",,1
feat(turborepo): Port Global Hash Env Var (#5166),0.687205,feat(turborepo): Port Manual hashing by @gsoltis in link,Description Ports env.go to Rust and connects it to the global hash code. Testing Instructions I added global_hash_test.go and connected the env_test.go tests to the Rust code. Co-authored-by: --global  Co-authored-by: Mehul Kar mehul.kar@vercel.com,0
fix: Clippy warnings (#5246),0.7978279,Disable clippy::too_many_arguments globally (#3084) by @jridgewell in link,Description We have a lot of clippy warnings. Applied cargo clippy --fix and manually fixed some other warnings Testing Instructions Give a quick description of steps to test your changes. Co-authored-by: --global ,1
ci(examples): make every examples test a workspace (#5011),0.5665018,"ci(workflow): upload integration test resuls from main branch, next.j… …s release (#3502) by @kwonoj","This commit parallelizes examples tests with turbo instead of Github Actions to: reduce the number of Github Workflow runs  triggered when an example changes. This should be faster and easier to read in a PR (2 checks instead of 16). more turbo dogfooding All examples tests will still run when any of the examples change, because each example itself is not a workspace, so we cannot wire up individual dependencies.  turbo.json configures inputs for caching, but we still using the Github Actions config to to limit these runs to changes in examples/ and examples-tests/**. We could opt out of this and rely on turbo's caching in the future. The pnpm-gatsby test was not part of the matrix before. Moving to this setup revealed that it does not pass in CI (because of mismatched node version). This test has been filtered out for now.",0
sec-228: ignore example repos (#5252),0.5065708,fix: Skip over repo root package for package inferrence (#3503) by @chris-olszewski,,0
fix(swc_plugin): use shared runtime (#5239),0.7922127,Update swc_core to v0.59.11 (#3484) by @kdy1,"Description closes WEB-1122. wasix internally initializes runtime by default, avoid it and let it use shared runtime instead.",1
feat(turborepo): Port Manual hashing (#5237),0.8642745,feat(turborepo): Port Manual hashing by @gsoltis in link,Co-authored-by: Greg Soltis ,1
release(turborepo): 1.10.3-canary.0 (#5250),0.8169366,release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot],Co-authored-by: Turbobot turbobot@vercel.com,1
ci(workflow): upload benchmark results to datadog (#5215),0.62539935,ci(workflow): format integration test results (#3534) by @kwonoj,"Description Initial support for uploading benchmark results into datadog. It currently iterates over the raw benchmark data, and uploda mean and std_dev's point_estimate. As noted in the comment random 400 returned by datadog, which needs some investigations. For now accept those flaky as it won't block CI.",0
ci(examples): update examples tests to diff full output  (#5242),0.6861745,ci(actions): adjust test summary format (#3588) by @kwonoj,This will help debug examples tests when they fail. Switch env vars to CLI flags so they don't leak through   to the turbo invocations in the actual test and change the output that   we are not asserting against. Enable corepack inside the test and then disable it again at the ened   of the test.,0
ci: use latest published version of turbo in CI instead of latest canary (#5238),0.78312814,feat(create-turbo): use canary if pre-release (#3225) by @tknickman in link,,1
docs: document that multiple --filters are unions (#5247),0.8885852,docs: document that multiple --filters are unions by @mehulkar in link,Co-authored-by: Greg Soltis greg.soltis@vercel.com,1
ci(examples): Skip npm install when setting up git for examples tests (#5240),0.96858203,ci(examples): Skip npm install when setting up git for examples tests by @mehulkar in link,"The extra npm install step creates a package-lock.json which causes turborepo to detect the wrong package manager, which ends up changing behavior.",1
feat(run summary): Add whether turbo detected monorepo or not (#5241),0.9367415,feat(run summary): Add whether turbo detected monorepo or not by @mehulkar in link,,1
fix next-swc CI check (#5236),0.6444026,fix(cli): ci detection (#3605) by @tknickman,"Description ✍️ Write a short summary of your work.   If necessary, include relevant screenshots. Testing Instructions Give a quick description of steps to test your changes.",0
Error handling fixes for turbopack-node and the HMR runtime (#5189),0.61370593,fix(turbo-ignore): correct README help output (#3076) by @tknickman in link,Description errors during module init are no longer ignored non-Errors thrown inside node.js now display correctly Bonus: - you can now debug the spawned node.js processes without recompiling via TURBOPACK_DEBUG_JS=operation,0
feat(turborepo): implement package.json discovery (#5225),0.88839424,feat(turborepo): implement package.json discovery by @gsoltis in link,Co-authored-by: Greg Soltis  Co-authored-by: Alexander Lyon arlyon@me.com Co-authored-by: Chris Olszewski chris.olszewski@vercel.com,1
add more tp-test exclusions to fix windows CI (a bit) (#5214),0.6002671,fix(cli): ci detection (#3605) by @tknickman,now we just have some node-file-trace tests timing out,0
fix(ffi): fix Rust dangling pointer (#5230),0.9636951,fix(ffi): fix Rust dangling pointer  by @chris-olszewski in link,"Description Fixes #5202 The underlying issue is how protobuf encodes a message with a single optional field. If that single field is missing the message gets encoded as a zero length string of bytes. This presents a problem with our usage of Vec::as_mut_ptr which: ""Returns a dangling raw pointer valid for zero sized reads if the vector didn’t allocate."" This caused us to send a buffer of length 0, but a dangling data pointer instead of a null pointer. This wasn't a consistent failure as Go only checks the validity of all the pointer in the stack under certain conditions. Specifically when growing/shrinking the stack and needing to adjust pointers in a frame. Testing Instructions Added unit tests that deal with zero length buffers: - Rust side ensure that if a protobuf message is zero length we return a buffer with length 0 and the data pointer is the null pointer - Go side the ensures that a buffer with 0 length and a null data pointer gets converted to an empty byte slice Co-authored-by: Chris Olszewski ",1
release(turborepo): 1.10.2 (#5229),0.80414027,Turborepo 1.8,Co-authored-by: Turbobot turbobot@vercel.com,1
Fix PrefixedRouterContentSourceVc's debug_assertion (#5227),0.5254215,Fix data requests for dynamic routes (#3435) by @alexkirsz,"Description ContentSource paths do not begin with a /, and the prefix should match that. 🤦 Testing Instructions Give a quick description of steps to test your changes.",0
