Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Apply fixes from StyleCI,0.37968102,Add explicit base font family fallback (#920),,0
Feature/copy to clipboard (#1356),0.28127253,Add key attribute (#1154),  create custom vue json pretty component   change vue-json-pretty to the new custom one   use package for the copy to clipboard instead   convert to a pretty json string   improve css and run npm production   hide cc when copying   make it a copy to clipboard custom component   npm run production   rename and move dependency to dev dependency   Compile Assets   use slot instead   remove duplicated divs and unnecessary divs   Compile Assets   remove empty lines   formatting   npm run production   Compile Assets   re-add changes that were revert by a merge conflict that was badly resolved.   npm run production   formatting    Co-authored-by: diogogomeswww diogogomeswww@users.noreply.github.com Co-authored-by: Taylor Otwell taylor@laravel.com,0
Update CHANGELOG,0.36837232,May be written to an empty log (#930),,0
Show array of headers (#1355),0.65099055,Show list of headers when present by @timacdonald in https://github.com/laravel/telescope/pull/1355,,0
Merge pull request #1354 from laravel/fix/serialization-of-trace,0.6582192,Avoids serialialisation of exception traces by @nunomaduro in https://github.com/laravel/telescope/pull/1354,[4.x] Avoids serialialisation of exception traces,0
Fixes tests,0.7928249,Testing fixes (#866),,1
Adds more tests,0.5195551,Testing fixes (#866),,0
Avoids serialialisation of exception traces,0.65353477,Avoids serialialisation of exception traces by @nunomaduro in https://github.com/laravel/telescope/pull/1354,,0
Prevent Memory Leak when using hideRequestParameters and hideRequestHeaders (#1350),0.7665065,Prevent Memory Leak when using hideRequestParameters and hideRequestHeaders by @danilopinotti in https://github.com/laravel/telescope/pull/1350,  Prevent Memory Leak when using hideRequestHeaders   Prevent Memory Leak when using hideRequestParameters   Update Telescope.php    Co-authored-by: Taylor Otwell taylor@laravel.com,1
"[4.x] Fixes jobs saying ""pending"" forever (#1349)",0.48108897,Fix for JobWatchers when the job payload is encrypted (#1089)﻿,"  Fixes ""pending"" job status   Apply fixes from StyleCI   Style   style   Test failed updates   Fixes contract   More tests   Fix type   Fixes tests   formatting   formatting    Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Taylor Otwell taylor@laravel.com",0
[4.x] Add duration to HTTP Client watcher (#1348),0.7923951,Add duration to HTTP Client watcher by @DougSisk in https://github.com/laravel/telescope/pull/1348,  Add duration to HTTP Client watcher   compile    Co-authored-by: Taylor Otwell taylor@laravel.com,1
Fix MailWatcher tags (#1340),0.7454805,Fix MailWatcher tags by @Rezrazi in https://github.com/laravel/telescope/pull/1340,Closes https://github.com/laravel/telescope/issues/1339,1
Fix database connection,0.37934706,Use getConnection method in Migrations (#736),,0
