Index,Release Note
1,"Changes:

Fix several UI bugs (#1238, #1241)
Lazily initialise Bitbucket host provider dependencies (#1239)

Changes from 2.1.0:

Support ports in URL-scoped config (#825)
Support URL-scoped enterprise default settings (#1149)
Add support for client TLS certificates (#1152)
Add TRACE2 support(#1131, #1151, #1156, #1162)
Better browser detection inside of WSL (#1148)
Handle expired OAuth refresh token for generic auth (#1196)
Target *-latest runner images in CI workflow (#1178)
Various bug fixes:
Ensure we create a WindowsProcessManager on Windows (#1146)
Ensure we start child processes created with ProcessManager (#1177)
Fix app path name of Windows dropping file extension (#1181)
Ensure we init IEnvironment before SessionManager (#1167)
git: consistently read from stdout before exit wait (#1136)
trace2: guard against null pipe client in dispose (#1135)
Make Avalonia UI the default Windows and move to in-process (#1207)
Add Git configuration options for trace & debug (#1228)
Transition from Nerdbank.GitVersioning to a version file (#1231)
Add support for using the current Windows user for WAM on DevBox (#1197)
Various documentation updates:
org-rename: update references to GitCredentialManager (#1141)
issue templates: remove core suffix (#1180)
readme: add link to project roadmap (#1204)
docs: add bitbucket app password requirements (#1213)
.net tool: clarify install instructions (#1126)
docs: call out different GCM install paths in WSL docs (#1168)
docs: add trace2 to config/env documentation (#1230)
"
2,"Changes:

Support ports in URL-scoped config (#825)
Support URL-scoped enterprise default settings (#1149)
Add support for client TLS certificates (#1152)
Add TRACE2 support(#1131, #1151, #1156, #1162)
Better browser detection inside of WSL (#1148)
Handle expired OAuth refresh token for generic auth (#1196)
Target *-latest runner images in CI workflow (#1178)
Various bug fixes:
Ensure we create a WindowsProcessManager on Windows (#1146)
Ensure we start child processes created with ProcessManager (#1177)
Fix app path name of Windows dropping file extension (#1181)
Ensure we init IEnvironment before SessionManager (#1167)
git: consistently read from stdout before exit wait (#1136)
trace2: guard against null pipe client in dispose (#1135)
Make Avalonia UI the default Windows and move to in-process (#1207)
Add Git configuration options for trace & debug (#1228)
Transition from Nerdbank.GitVersioning to a version file (#1231)
Add support for using the current Windows user for WAM on DevBox (#1197)
Various documentation updates:
org-rename: update references to GitCredentialManager (#1141)
issue templates: remove core suffix (#1180)
readme: add link to project roadmap (#1204)
docs: add bitbucket app password requirements (#1213)
.net tool: clarify install instructions (#1126)
docs: call out different GCM install paths in WSL docs (#1168)
docs: add trace2 to config/env documentation (#1230)
"
3,"Changes:

Guard against null pipe client (#1135)
Consistently read from stdout before waiting for Git process exit (#1136)
"
4,"Changes:

Secret Service module error fix #996
Release pipeline fixes #995 #1009 #1061
Generic OAuth support via config 🎉 #1062
Initial TRACE2 tracing events #1045
"
5,"Changes:

Fix various problems with install path and app path variables #968
Sign Linux tarball and .NET tool #985 
"
6,"Changes:

Check for broken links in documentation (#700)
Support macOS module installs via Homebrew (#798) 
Validate installers before publishing (#813)
Auto-generate maintainer away notification issues (#842)
Access Azure storage account using service principle credentials (#851)
Update documentation to use reference-style links (#680)
Unify documentation line length (#862)
Add generic username/password UI (#871)
Bitbucket DC OAuth support (#607)
Distribute GCM as a dotnet tool (#886)
Drop module suffix from entry executable #551 
Speed up build graph (#924)
Convert issue templates to YAML (https://github.com/GitCredentialManager/git-credential-manager/commit/24ae90a4bd18fec6edcc860281ff82f715588e44)
Replace netstandard2.0 with dotnet6.0 (https://github.com/GitCredentialManager/git-credential-manager/commit/65cead2b5caa443fde1f9b86d02ab377a80a279c)
Ensure correct installation directory resolution for all OSes and distribution methods (https://github.com/GitCredentialManager/git-credential-manager/pull/951)
Align with dotnet-supported Linux distributions (https://github.com/GitCredentialManager/git-credential-manager/pull/953)
"
7,"Changes:

Fix build script error creating incorrect x64 packages for macOS (https://github.com/GitCredentialManager/git-credential-manager/pull/778)
"
8,"Changes:

Added Markdown Linting/Dependabot (#668, #674)
Improved detection of dotnet on Linux (#685)
Added support for local network host URIs (#699)
Updated generic provider to support all protocols (#712)
Updated Bitbucket credential UI to show the URL of the Bitbucket Server or Data Center instance if applicable (#713)
Migrated release process from Azure DevOps to GitHub actions (#707)
Updated to manually scanning module instead of using module on POSIX systems (#717)
Added module scope to GitLab OAuth app (#719)
Added support for module (#732)
Discontinued incorrect use of Homebrew Git shim (#731)
Stopped serializing/writing credentials that already exist (#739)
Corrected runtime exceptions with Bitbucket DC authentication (#743)
Corrected matching of Windows credentials when port numbers were used in search (#748)
Added auto-generated manifest for Windows executables (#756)
Updated Bitbucket UI to separate OAuth and username/password options (#754)

Special thanks to our contributors 🎉:

@wolf99 
@hickford
@easwarh 
@Bene81
@samuel-lee-msft
@miya789
@buchwasa
@mminns 
"
9,"This release is a fast follow to module to fix issues with the Debian package generated as part of that release.
Changes:

Ensure Debian package is expected size and contains necessary files (https://github.com/GitCredentialManager/git-credential-manager/pull/648)
Ensure git-credential-manager-core command is available after Debian package install (https://github.com/GitCredentialManager/git-credential-manager/pull/650)
"
10,"Changes:

Improved Bitbucket OAuth performance through verification of access token validity (#518)
Fixed bug in binding module command for Azure Repos (#575)
Added OAuth UI support for Bitbucket (#579)
Improved usability for GitHub auth (#587)
Added option to disable GUI prompts (#600)
Added support for GitLab (#591, #614, #621) 🎉 
Added support for new preferred WSL UNC file path (#612)
Updated WAM support to only include applicable OSes (#629)
Added install from source helper script for Linux users (#630)
Fixed GHE credential storage bug by removing module prefix from API URL (#599)
Simplified build number included in artifact names (#638)
Upgraded to .NET 6.0 (#635, #640)

Thanks to our contributors ❤️:

@hickford
@mminns
@ejball 
@jessehouwing 
@buchwasa 
@felipecrs
"
