Index,Release Note,Release Note Abstract
1," Optional: add a release summary here 
📦 Jenkins Core updates

Update to Jenkins 2.410 (changelog)

🚀 New features and improvements

Download from mirrors, not repo.jenkins-ci.org (#1648) @MarkEWaite
","Optional: add a release summary here 
📦 Jenkins Core updates
Update to Jenkins 2.410 (changelog)
🚀 New features and improvements
Download from mirrors, not repo.jenkins-ci.org (#1648) @MarkEWaite"
2," Optional: add a release summary here 
📦 Jenkins Core update

Update to Jenkins 2.409 (changelog)
","Optional: add a release summary here 
📦 Jenkins Core update
Update to Jenkins 2.409 (changelog)"
3,"📦 Jenkins Core updates

Update to Jenkins 2.401.1 (changelog and upgrade guide ) 

👻 Maintenance

Improve release drafter configuration (#1646)
","📦 Jenkins Core updates
Update to Jenkins 2.401.1 (changelog and upgrade guide ) 
👻 Maintenance
Improve release drafter configuration (#1646)"
4,"📦 Jenkins Core updates

Update to Jenkins 2.407 (changelog) 

👻 Maintenance

Bump almalinux from 8.7 to 8.8 in /11/almalinux/almalinux8/hotspot (#1644)
","📦 Jenkins Core updates
Update to Jenkins 2.407 (changelog) 
👻 Maintenance
Bump almalinux from 8.7 to 8.8 in /11/almalinux/almalinux8/hotspot (#1644)"
5,"📦 Jenkins Core updates

Update to Jenkins 2.406 (changelog) 

👻 Maintenance

Bump debian in /11/debian/bullseye-slim/hotspot (#1641)
Bump debian in /11/debian/bullseye/hotspot (#1638)
Bump debian in /17/debian/bullseye/hotspot (#1639)
Bump debian in /17/debian/bullseye-slim/hotspot (#1640)
Block dependabot proposals to update to Alma Linux 9 (#1634)
Bump ubi8/ubi from 8.7-1112 to 8.8-854 in /11/rhel/ubi8/hotspot (#1636)
Skip dependabot pull requests for Java major versions (#1635)
Use Eclipse Temurin from UBI 9 for ubi9 container (#1633)
Add ksalerno as codeowner (#1632)
","📦 Jenkins Core updates
Update to Jenkins 2.406 (changelog) 
👻 Maintenance
Bump debian in /11/debian/bullseye-slim/hotspot (#1641)
Bump debian in /11/debian/bullseye/hotspot (#1638)
Bump debian in /17/debian/bullseye/hotspot (#1639)
Bump debian in /17/debian/bullseye-slim/hotspot (#1640)
Block dependabot proposals to update to Alma Linux 9 (#1634)
Bump ubi8/ubi from 8.7-1112 to 8.8-854 in /11/rhel/ubi8/hotspot (#1636)
Skip dependabot pull requests for Java major versions (#1635)
Use Eclipse Temurin from UBI 9 for ubi9 container (#1633)
Add ksalerno as codeowner (#1632)"
6,"📦 Jenkins Core updates

Update to Jenkins 2.405 (changelog) 
","📦 Jenkins Core updates
Update to Jenkins 2.405 (changelog) "
7,"This changelog contains an incremental change after Jenkins 2.190.1. Multiple releases are included.
📦 Jenkins Core updates

Update to Jenkins 2.235.1 (changelog) 

🚀 New features and improvements

Add OpenJ9 images for Java 1.8 and Java 11 (#890) @dzmitrykashlach 
Publish CentOS 7 and 8 images (#906) @ArnauSistach
Add git-lfs to all images (#880) @flokli
Publish versioned LTS tags so that images can be uodated by Dependabot (#958) @j3parker

🐛 Bug Fixes


936 Added tzdata package (#937) @krufab


📝 Documentation updates

Fix typos and grammar (#951) @jurnho

👻 Maintenance

Increase build timeouts (#914) @slide
Fix test issues (#910) @slide
Update Shellcheck 0.7.0 (#931) @ducksecops
Do not build containers on Wednesdays during EU daytime (#920) @daniel-beck
Create a CODEOWNERS file (#911) @oleg-nenashev
Temporarily disable arm32v7 (#961) @slide

NOTE: This is an experimental changelog. See this page for more info","This changelog contains an incremental change after Jenkins 2.190.1. Multiple releases are included.
📦 Jenkins Core updates
Update to Jenkins 2.235.1 (changelog) 
🚀 New features and improvements
Add OpenJ9 images for Java 1.8 and Java 11 (#890) @dzmitrykashlach 
Publish CentOS 7 and 8 images (#906) @ArnauSistach
Add git-lfs to all images (#880) @flokli
Publish versioned LTS tags so that images can be uodated by Dependabot (#958) @j3parker
🐛 Bug Fixes
936 Added tzdata package (#937) @krufab
📝 Documentation updates
Fix typos and grammar (#951) @jurnho
👻 Maintenance
Increase build timeouts (#914) @slide
Fix test issues (#910) @slide
Update Shellcheck 0.7.0 (#931) @ducksecops
Do not build containers on Wednesdays during EU daytime (#920) @daniel-beck
Create a CODEOWNERS file (#911) @oleg-nenashev
Temporarily disable arm32v7 (#961) @slide
NOTE: This is an experimental changelog. See this page for more info"
8," Optional: add a release summary here 
📦 Jenkins Core updates

Update to Jenkins 2.190.1 (changelog). This is a security release! 2.176.4 includes the same security patches for the previous LTS baseline
","Optional: add a release summary here 
📦 Jenkins Core updates
Update to Jenkins 2.190.1 (changelog). This is a security release! 2.176.4 includes the same security patches for the previous LTS baseline"
9," Optional: add a release summary here 
📦 Jenkins Core updates

Update to Jenkins 2.176.4 (changelog). This is a security release!

👻 Maintenance

Look further back to handle LTS.4/LTS.1 dual release days (#886) @daniel-beck

NOTE: This is an experimental changelog. See this page for more info","Optional: add a release summary here 
📦 Jenkins Core updates
Update to Jenkins 2.176.4 (changelog). This is a security release!
👻 Maintenance
Look further back to handle LTS.4/LTS.1 dual release days (#886) @daniel-beck
NOTE: This is an experimental changelog. See this page for more info"
10," Optional: add a release summary here 
📦 Jenkins Core updates

Update to Jenkins 2.176.3 (changelog) 

🚀 New features and improvements


709, #861 - Make the REF_DIR configurable in plugin installation scripts (#866) @slide


857 - Make the Jenkins WAR path configurable by the JENKINS_WAR env property (#873) @MRamonLeon


📝 Documentation updates

Introduce Docker Packaging changelogs (#856) @oleg-nenashev

👻 Maintenance

Update the default Jenkins version for development (#869) @jbnetfr

NOTE: This is an experimental changelog. See this page for more info","Optional: add a release summary here 
📦 Jenkins Core updates
Update to Jenkins 2.176.3 (changelog) 
🚀 New features and improvements
709, #861 - Make the REF_DIR configurable in plugin installation scripts (#866) @slide
857 - Make the Jenkins WAR path configurable by the JENKINS_WAR env property (#873) @MRamonLeon
📝 Documentation updates
Introduce Docker Packaging changelogs (#856) @oleg-nenashev
👻 Maintenance
Update the default Jenkins version for development (#869) @jbnetfr
NOTE: This is an experimental changelog. See this page for more info"
