Index,Message,Description,Message Abstract,Description Abstract
1,all: Fix comments for exported functions and packages,,all: Fix comments for exported functions and packages,
2,deps: Update github.com/bep/golibsass v1.1.0 => v1.1.1,Fixes #10629 Fixes #10491,deps: Update github.com/bep/golibsass v1.1.0 => v1.1.1,Fixes #10629 Fixes #10491
3,Make GOMAXPROCS to be CPU limit aware ,Fixes #10950,Make GOMAXPROCS to be CPU limit aware ,Fixes #10950
4,Allow empty params.mainSections,Updates #10953,Allow empty params.mainSections,Updates #10953
5,modules: Fix format flag in error,,modules: Fix format flag in error,
6,commands: Load config before creating the filesystem,To allow publishDir to be set in config file.,commands: Load config before creating the filesystem,To allow publishDir to be set in config file.
7,Fix some recently introduced error handling issues,Updates #10953,Fix some recently introduced error handling issues,Updates #10953
8,tpl/lang: document delimiter option for FormatNumberCustom,Closes gohugoio/hugoDocs#1760,tpl/lang: document delimiter option for FormatNumberCustom,Closes gohugoio/hugoDocs#1760
9,Re-add site.LanguagePrefix,Updates #10947,Re-add site.LanguagePrefix,Updates #10947
10,github: Trim the test flow a little,"We now have much improved end to end tests, so cut the building of the docs site to save some time of the PR builds.",github: Trim the test flow a little,"We now have much improved end to end tests, so cut the building of the docs site to save some time of the PR builds."
11,commands: Improve the common build flag handling,Updates #10947,commands: Improve the common build flag handling,Updates #10947
12,"Support, but warn, about top level language custom params",Updates #10947,"Support, but warn, about top level language custom params",Updates #10947
13,Handle transient errors in config loading etc.,As in: Get the Kubernetes site to build with the new Hugo version. Updates #10947,Handle transient errors in config loading etc.,As in: Get the Kubernetes site to build with the new Hugo version. Updates #10947
14,Re-establish all the server flags,Updates #10947,Re-establish all the server flags,Updates #10947
15,Deprecate site.Language.Params and some other fixes,Updates #10947,Deprecate site.Language.Params and some other fixes,Updates #10947
16,"Revert ""Make GOMAXPROCS CPU limit aware""","I shouldn't have merged this without running the tests. This libray logs to stderr on init, which is a no go for us. Re. test failure: [stderr] 2023/05/17 18:21:04 maxprocs: Leaving GOMAXPROCS=2: CPU quota undefined This reverts commit 59050f97f637b7cb423e6f5b63e36c1ea973c183.","Revert ""Make GOMAXPROCS CPU limit aware""","I shouldn't have merged this without running the tests. This libray logs to stderr on init, which is a no go for us. Re. test failure: [stderr] 2023/05/17 18:21:04 maxprocs: Leaving GOMAXPROCS=2: CPU quota undefined This reverts commit 59050f97f637b7cb423e6f5b63e36c1ea973c183."
17,Make GOMAXPROCS CPU limit aware,Fixes #10950,Make GOMAXPROCS CPU limit aware,Fixes #10950
18,Add Sections to Site interface,See https://github.com/gohugoio/hugo/issues/10947#issuecomment-1550012671 Updates #10947,Add Sections to Site interface,See link Updates #10947
19,helpers: simplify path tests with T.TempDir,,helpers: simplify path tests with T.TempDir,
20,tpl: Add math.Abs,Fixes #10941.,tpl: Add math.Abs,Fixes #10941.
21,Create a struct with all of Hugo's config options,"Primary motivation is documentation, but it will also hopefully simplify the code. Also,  Lower case the default output format names; this is in line with the custom ones (map keys) and how it's treated all the places. This avoids doing stringds.EqualFold everywhere.  Closes #10896 Closes #10620",Create a struct with all of Hugo's config options,"Primary motivation is documentation, but it will also hopefully simplify the code. Also, Lower case the default output format names; this is in line with the custom ones (map keys) and how it's treated all the places. This avoids doing stringds.EqualFold everywhere. Closes #10896 Closes #10620"
22,Improve date parsing performance for the common case,``` name                    old time/op    new time/op    delta Baseline/skiprender-10    24.5ms ±10%    22.3ms ± 4%   -8.93%  (p=0.029 n=4+4) name                    old alloc/op   new alloc/op   delta Baseline/skiprender-10    30.0MB ± 0%    26.2MB ± 0%  -12.74%  (p=0.029 n=4+4) name                    old allocs/op  new allocs/op  delta Baseline/skiprender-10      373k ± 0%      279k ± 0%  -25.07%  (p=0.029 n=4+4) ``` Fixes #10942,Improve date parsing performance for the common case,module Fixes #10942
23,Add a counter helper,,Add a counter helper,
24,Expand the baseline benchmark a little,,Expand the baseline benchmark a little,
25,"Revert ""Update syntax-highlighting.md (#10929)"" (#10930)",This reverts commit a4fb8dc6bc4358ca5c307e1af4a50fee2a0c4c12.,"Revert ""Update syntax-highlighting.md (#10929)"" (#10930)",This reverts commit a4fb8dc6bc4358ca5c307e1af4a50fee2a0c4c12.
26,Update syntax-highlighting.md (#10929),,Update syntax-highlighting.md (#10929),
27,Update README.md,,Update README.md,
28,tpl/strings: Clarify findRESubmatch description,,tpl/strings: Clarify findRESubmatch description,
29,langs/i18n: Fallback to defaultContentLanguage instead of English,Co-authored-by: 641bill wo23636@126.com Fixes #9216,langs/i18n: Fallback to defaultContentLanguage instead of English,Co-authored-by: 641bill wo23636@126.com Fixes #9216
30,tpl/debug: Add VisualizeSpaces,,tpl/debug: Add VisualizeSpaces,
31,Update README.md,,Update README.md,
32,Prevent the global error collector to panic when sending on closed channel,,Prevent the global error collector to panic when sending on closed channel,
33,markup/goldmark: Add config options for the typographer extension,Note that the config per language part of this will be handled in #10602. Updates #9772,markup/goldmark: Add config options for the typographer extension,Note that the config per language part of this will be handled in #10602. Updates #9772
34,readme: Fix build command,,readme: Fix build command,
35,Update README.md,,Update README.md,
36,Add test for ToC vs include,See #10866,Add test for ToC vs include,See #10866
37,resources.functions: improve validation,,resources.functions: improve validation,
38,resources: Fix typos in error message and variables,,resources: Fix typos in error message and variables,
39,markup/goldmark: Fail on invalid Markdown attributes,,markup/goldmark: Fail on invalid Markdown attributes,
40,commands: Fix data race in test,Note that this is a test fix only.,commands: Fix data race in test,Note that this is a test fix only.
41,tpl/math: Return error if less than 2 input numbers,Fixes #10827,tpl/math: Return error if less than 2 input numbers,Fixes #10827
42,releaser: Prepare repository for 0.112.0-DEV,[ci skip],releaser: Prepare repository for 0.112.0-DEV,[ci skip]
43,releaser: Bump versions for release of 0.111.3,[ci skip],releaser: Bump versions for release of 0.111.3,[ci skip]
44,deps: Update go-org to v1.6.6,"among other things, fixes a race condition in html writer and bug preventing explicit line breaks immediately following emphasis",deps: Update go-org to v1.6.6,"among other things, fixes a race condition in html writer and bug preventing explicit line breaks immediately following emphasis"
45,"Fix ""unknown shortcode token"" when calling shortcode within fenced code block",Fixes #10819,"Fix ""unknown shortcode token"" when calling shortcode within fenced code block",Fixes #10819
46,Run gofmt -s on source files,,Run gofmt -s on source files,
47,docs: Improve examples of variadic math functions,,docs: Improve examples of variadic math functions,
48,"tpl/math: Allow multi numbers in add, sub, mul, div, min and max",,"tpl/math: Allow multi numbers in add, sub, mul, div, min and max",
49,readme: Update dependency list,,readme: Update dependency list,
