Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,tweaked paste warning copy,0.6412084,Also warn about multi-line pastes,Currently translated at 100.0% (24 of 24 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
2,Added Ctrl-0 to zoom back to default font size.,0.6918611,Zoom with Ctrl + Scroll,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
3,Actions: only run CI on PR (#581),0.4022776,* Fix a wrong foreground process response code,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
4,Fixed bug #968052.,0.67551553,This release includes several bug fixes,Currently translated at 100.0% (24 of 24 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
5,Fixed minimum size issue.,0.4310041,Properly restore zoom levels for all locales,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
6,Travis: downgrade Node to 10,0.3265859,Performance improvements,Currently translated at 100.0% (24 of 24 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
7,"Added transparency, not real one, though, it just shows the background.",0.40669274,Default styles are fully opaque and updated to the latest upstream values from Solarized for improved legibility,Application: handle minimized in the primary instance stop storing the flag value locally and only check for it in the primary instance. this fix a issue with subsequent command line invocations inheriting the minimized flag of the first launch. Co-authored-by: Jeremy Wootten jeremy@elementaryos.org,0
8,Added gee to dependencies.,0.4558332, * Add accels to tooltips,"Application: implement startup() handy initialization and css loading is done here now, the new-window and quit action are implemented here too since there's no reason for them to be part of the window class. one behaviour diferrence is that the quit action now closes all windows instead of only the current window matching others elementary applications. Tests: add tests for the new-window and quit actions close windows during quit action Tests: don't unref application instance on shutdown try iterating the context manually Co-authored-by: Danielle Foré danielle@elementary.io Co-authored-by: Jeremy Wootten jeremy@elementaryos.org",0
9,Merge changes from lp:pantheon-terminal,0.42608678,pantheon-terminal 0.4.3 is out!,remove unecessary idle during page switch Co-authored-by: Jeremy Wootten jeremy@elementaryos.org,0
10,Fix regression to grey color,0.5312377,Use neutral colors for the dark style scheme,Currently translated at 100.0% (24 of 24 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
11,formatting fixes,0.5320389,Apply font changes without restarting,Currently translated at 100.0% (24 of 24 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
12,Added a menubar with no menus.,0.6310258,* Pressing the Menu key now opens the context menu,Currently translated at 100.0% (24 of 24 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
13,"Fixed bug #987465, I'm very happy.",0.6244359,This release includes several bug fixes,Currently translated at 100.0% (24 of 24 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
14,fix regression in previous commit that would assign no shell to be started if a custom one is set,0.37245497,Include sudo password prompt when copying last output,Currently translated at 100.0% (24 of 24 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
15,Translated using Weblate (Português (Brasil)),0.5700416,Translation updates,Currently translated at 100.0% (24 of 24 strings) Translation: Terminal/Terminal (Extra) Translate-URL: link/,0
16,Set window hints to set the resize increments to the char width and height,0.4614724,Add commandline option for New Window (-n),,0
17,Silence C warnings,0.3879852,Notifications indicate if a process exited with errors or not,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal (Extra) Translate-URL: link/",0
18,Release 0.2.4,0.6126444,pantheon-terminal 0.4.2 is out!,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Terminal/Terminal Translate-URL: link/",0
19,"Removed old Preferences file, didn't notice it when creating the new one.",0.4431429,Turn Natural Copy/Paste on or off in the Settings menu,,0
20,Zoom per tab (#505),0.7811382,Zoom levels are now remembered per-tab,,1
21,Move binary names and data dir to RDNN (#132),0.4254669,Switch to GHCR containers by @davidmhewitt in link,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
22,Catch Ctrl+D,0.6794252,Quit with Ctrl + Shift + Q,Currently translated at 95.1% (79 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
23,fix bug #1028595,0.6579431,This release includes several bug fixes,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
24,don't remove non-existant class,0.35711548,Rework Application Class by @Marukesu in link,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
25,"Set window hints to set the resize increments to the char width and height, fixing bug #1254954.",0.49089178,Slightly pad text from the edge of the window,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
26,Do not destroy pre-existing PROMPT_COMMAND variable value; prepend our command to it instead,0.42036703,Include sudo password prompt when copying last output,Currently translated at 100.0% (83 of 83 strings) Translation: Terminal/Terminal Translate-URL: link/,0
