Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,docs: add GitHub.com app revoke info to FAQ,0.6208962,org-rename: update references to GitCredentialManager (#1141),"Move deployment of .NET tool to nuget.org out of release workflow. With these changes, the .NET tool is published only after a release has been published (rather than with the creation of the release). This emulates what we currently do with Homebrew and ensures we only release the .NET tool when we are confident enough in a release's stability to publish it.",0
2,github: update GitHub provider to impl new cred model,0.70287573,Git Host Providers:,"Move deployment of .NET tool to nuget.org out of release workflow. With these changes, the .NET tool is published only after a release has been published (rather than with the creation of the release). This emulates what we currently do with Homebrew and ensures we only release the .NET tool when we are confident enough in a release's stability to publish it.",1
3,linux: add new Avalonia UI helpers on Linux,0.6927182,Include UI helpers in Debian package for Linux release; move GCM symlink to /usr/local/bin (#405),Migrate applicable secrets to the new 'release' workflow environment and update appropriate workflows to use these secrets. This is a security measure to help ensure secrets cannot be accessed by those without proper permissions. An example of a passing workflow with these changes can be found here.,0
4,github: show terminal prompts when no GUI,0.8827678,"- Show the terminal/TTY based prompts when there is no desktop/GUI sessions present for GitHub (#453, #538)",Migrate applicable secrets to a new 'release' workflow environment. This is a security measure to help ensure secrets cannot be accessed by those without proper permissions.,1
5,build(deps): bump mjcheetham/update-homebrew from 1.1 to 1.2,0.57700133,Discontinued incorrect use of Homebrew Git shim (#731),Bumps lycheeverse/lychee-action from 1.7.0 to 1.8.0.,0
6,Add UI testing instructions to CONTRIBUTING,0.5350833,Correctly detect a UI interactive session on all platforms (#95),Bumps lycheeverse/lychee-action from 1.7.0 to 1.8.0. - Release notes - Commits  updated-dependencies: - dependency-name: lycheeverse/lychee-action   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,0
7,xui: add a dispatcher class,0.46218616,Ensure we init IEnvironment before SessionManager (#1167),"We are spending about 45ms on macOS to read version information by shelling out to sw_vers on each run of GCM. Let's try and be smarter and use BCL APIs, system APIs or file-based sources for the OS and distribution information before resorting to external processes. In my testing, on macOS, we went from 45ms to 4.5ms (10x speedup). Note that we are now also getting something a little bit more useful for Linux: Before: $ GCM_TRACE=1 ./git-credential-manager --version 20:55:36.776385 ...re/Application.cs:95 trace: [RunInternalAsync] Version: 2.1.1.0 20:55:36.787669 ...re/Application.cs:96 trace: [RunInternalAsync] Runtime: .NET 6.0.16 20:55:36.787711 ...re/Application.cs:97 trace: [RunInternalAsync] Platform: Linux (x86-64) 20:55:36.787749 ...re/Application.cs:98 trace: [RunInternalAsync] OSVersion: Linux ubuntu2204-vm1 5.15.0-1037-azure #44-Ubuntu SMP Thu Apr 20 13:19:31 UTC 2023 x86_64 x86_64 x86_64 GNU/Linux .. After: $ GCM_TRACE=1 ./git-credential-manager --version 20:52:12.325628 ...re/Application.cs:95 trace: [RunInternalAsync] Version: 2.1.1.0 20:52:12.337234 ...re/Application.cs:96 trace: [RunInternalAsync] Runtime: .NET 6.0.16 20:52:12.337283 ...re/Application.cs:97 trace: [RunInternalAsync] Platform: Linux (x86-64) 20:52:12.337301 ...re/Application.cs:98 trace: [RunInternalAsync] OSVersion: Ubuntu 22.04.1 LTS ..",0
8,trace2: write exit event,0.656964,Initial TRACE2 tracing events #1045,removed unnecessary tabs,0
9,Fix docs/x.md relative links (#938),0.65115285,Check for broken links in documentation (#700),,0
10,Merge pull request #68 from jamill/fix_osx_postinstall,0.44576004,"Fix bug with enumerating Azure Repos bindings outside of a repository (#416, #417)",Update the default for credential.azreposCredentialType or GCM_AZREPOS_CREDENTIALTYPE to oauth when on Microsoft DevBox. 917,0
11,Merge pull request #79 from mjcheetham/fix-signwindows,0.4988131,Fix WSL configuration instructions (#479),Update the default for credential.azreposCredentialType or GCM_AZREPOS_CREDENTIALTYPE to oauth when on Microsoft DevBox.,0
12,Merge pull request #40 from mjcheetham/github-winui,0.47299016,WPF-based GitHub auth UI (#40),removed unnecessary tabs,0
13,docs: add link to git config/envars to switch cred types,0.57908297,Add Git configuration options for trace & debug (#1228),Fix a bug in the in-proc UI logic for returning the personal access token. We were accidentally returning the password field rather than the token field for PATs.,0
14,.net tool: clarify install instructions (#1126),1.0,.net tool: clarify install instructions (#1126),"Try using the /etc/os-release file, for systemd distros, in favour of calling out to uname which can add extra overhead in the form of process startup. Direct file I/O and parsing should be faster.",1
15,github: readd WPF GitHub divider and 2FA controls,0.65379155,WPF-based GitHub auth UI (#40),Fix a bug in the in-proc UI logic for returning the personal access token. We were accidentally returning the password field rather than the token field for PATs.,0
16,trace2: remove warning from tryparsesettings,0.6599597,"Add TRACE2 support(#1131, #1151, #1156, #1162)",Since .NET 5 we can now use the Environment.OSVersion property to lookup the real OS version for macOS and Windows[1]. For .NET Framework (still used for our releases on Windows) we must continue to use the Win32 API RtlGetVersion to avoid any Windows compatibility nonsense. We continue to use uname on Linux. [1] https://learn.microsoft.com/en-us/dotnet/core/compatibility/core-libraries/5.0/environment-osversion-returns-correct-version,0
17,Remove apt-get install instructions from README.md,0.4790092,Fix computation of installation path on Linux/single-file publish (#310),Lazily acquire the HttpClient instance from the factory inside of the OAuth2ClientRegistry. There is a relatively large cost to creating a new HttpClient instance (especially the first; due to config reading) that is being paid each time we just register the entire Bitbucket host provider. Whilst we are here also cleanup some of the styling/field naming in this class to be consistent with the rest of GCM. This saves approximately 120ms of startup time.,0
18,Merge pull request #350 from microsoft/main,0.49119782,"Fix a bug with using Microsoft Accounts with Azure Repos (#143, #148)",,0
19,Cleaning up,0.32479346,- Various bug fixes and improvements,Lazily acquire the HttpClient instance from the factory inside of the OAuth2ClientRegistry. There is a relatively large cost to creating a new HttpClient instance (especially the first; due to config reading) that is being paid each time we just register the entire Bitbucket host provider. Whilst we are here also cleanup some of the styling/field naming in this class to be consistent with the rest of GCM.,0
20,bitbucket: guard against disposing a null ref,0.6121452,Improved Bitbucket OAuth performance through verification of access token validity (#518),Fix a few bugs that were spotted during testing of the 2.1 pre-release:  Missing Atlassian logo resource from the compiled binaries Remote URL is shown even for Bitbucket cloud with in-proc GUI In-proc basic auth GUI user name field should only be set if non-null or whitespace  Also bump the VERSION to 2.1.1 in the expectation for this to replace 2.1.0.,0
21,Fix azrepos link,0.51667225,Various bug fixes:,,0
22,azrepos: use OAuth tokens on DevBox by default,0.71286416,Enable Azure Repos OAuth-mode by default on DevBox (#1245),,1
23,Add Azure Pipelines YAML PR & CI build defns,0.5547612,- Azure Repos,Only show the URL if the remote is NOT Bitbucket Cloud in the in-proc UI. This is same behaviour as the helper UI.,0
24,Make tests actually test mixed case input,0.39072478,Reduce warnings from tests (#337),Make sure to include the Atlassian logo as an AvaloniaResource so it's included in the compiled binaries.,0
25,trace2: add regions (#1162),0.78390014,"Add TRACE2 support(#1131, #1151, #1156, #1162)",,1
26,Merge pull request #575 from mjcheetham/azrepos-list-fix,0.51721466,"Fix bug with enumerating Azure Repos bindings outside of a repository (#416, #417)","Add the ability to configure MSAL to use the default OS account when the broker is enabled. Also detect when we are in a Microsoft Dev Box environment, and if we are, then default to enabling the new setting (and enable WAM). Show a confirmation prompt before continuing to use the current OS account, which is similar to how Microsoft Teams operates.  Left: Avalonia UI, Right: fallback WPF window Fixes #917",0
27,diagnose: add credential storage diagnostic tests,0.4786209,Validate installers before publishing (#813),Bumps DavidAnson/markdownlint-cli2-action from 10.0.0 to 10.0.1.,0
28,oauth: drop unused protected properties from client,0.50841653,Enable Azure Repos OAuth-mode by default on DevBox (#1245),Bumps DavidAnson/markdownlint-cli2-action from 10.0.0 to 10.0.1. - Release notes - Commits  updated-dependencies: - dependency-name: DavidAnson/markdownlint-cli2-action   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,0
29,Avoid creating external processes to read OS version info (#1240),0.5421679,Ensure we create a WindowsProcessManager on Windows (#1146),"With the plan to migrate GCM to a formula for release via Homebrew/homebrew-core, it became clear that Nerdbank.GitVersioning was no longer an option for versioning the project. This is because Nerdbank.GitVersioning requires history to calculate things like 'Git height', and the formula requires a tarball to build, which, of course, has no history. This change pivots GCM to the simpler strategy of using a version specified in a VERSION file at root. This version will be updated by maintainers prior to release - giving them more granular control of versioning, which in turn allows for versioning to be more predictable (i.e. maintainers will know what the version will be before publication of the release). The version specified in the file is the one slated for the next release: 2.1.0.0. Note: This change fails on Windows due to a bug in MSAL unless we ensure all projects have at least 1 dependency. We are working around this issue by adding Newtonsoft.Json as this dependency (since we were already shipping it anyway).",0
30,build(deps): bump actions/checkout from 3 to 3.1.0,0.47470224,Speed up build graph (#924),"Remove fetch-depth from checkout actions, since that was required by Nerdbank.GitVersioning. Also take this opportunity to use consistent version and naming for checkout actions.",0
31,Merge pull request #78 from microsoft/master,0.49693614,Add workaround for Windows Broker (WAM) running as admin (#344),Remove Nerdbank.GitVersioning tasks (which have been superceded by the use of the new VERSION file) from the release workflow.,0
32,registry: speed up auto-detect and make more robust,0.5183586,"Improve host provider auto-detection logic (#384, #481)","Update release workflow to use VERSION file for versioning, rather than Nerdbank.GitVersioning.",0
