Index,Release Note,Release Note Abstract
1,"What's Changed

fix: javascript test runner issues by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/951
feat: update challenge links by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/985
chore: update auth0 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/987
release(app): v3.4.1+30401 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/988

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v3.4.0...v3.4.1","What's Changed
fix: javascript test runner issues by @Sembauke in link
feat: update challenge links by @Nirajn2311 in link
chore: update auth0 by @Nirajn2311 in link
release(app): v3.4.1+30401 by @Nirajn2311 in link
Full Changelog: link"
2,"What's Changed

chore: remove dev wall on native login screen by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/967
feat: disable crashlytics for local development by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/963
fix: remove web support by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/969
fix: possible values profile ui by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/971
feat: add settings page by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/970
fix: login button UI by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/974
feat: remove streak property by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/977
fix: button text native login by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/968
release(app): v3.4.0+30400 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/981

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v3.3.3...v3.4.0","What's Changed
chore: remove dev wall on native login screen by @Sembauke in link
feat: disable crashlytics for local development by @Nirajn2311 in link
fix: remove web support by @Sembauke in link
fix: possible values profile ui by @Sembauke in link
feat: add settings page by @Sembauke in link
fix: login button UI by @Nirajn2311 in link
feat: remove streak property by @Nirajn2311 in link
fix: button text native login by @Sembauke in link
release(app): v3.4.0+30400 by @Nirajn2311 in link
Full Changelog: link"
3,"What's Changed

feat: javascript console by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/930
fix: remove type assertion by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/944
feat: native login by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/937
chore: hide code radio articles in iOS devices by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/945
fix: passpane login issue by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/956
chore: hide apple button by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/957
chore: remove unused values by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/964
release(app): v3.3.3+30303 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/965

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v3.3.2...v3.3.3","What's Changed
feat: javascript console by @Sembauke in link
fix: remove type assertion by @Sembauke in link
feat: native login by @Sembauke in link
chore: hide code radio articles in iOS devices by @Nirajn2311 in link
fix: passpane login issue by @Sembauke in link
chore: hide apple button by @Sembauke in link
chore: remove unused values by @Nirajn2311 in link
release(app): v3.3.3+30303 by @Nirajn2311 in link
Full Changelog: link"
4,"What's Changed

feat: add ""Next"" button in pass panel by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/893
fix: old state pass panel by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/894
feat: introduce card widgets on landing page by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/882
fix: login issues by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/903
fix: mobile curriculum test by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/902
feat: iOS deployment by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/885
fix: ios issues by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/914
release(app): v3.3.1+30301 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/922
fix: back button for challenge view by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/923
fix: update phone_ide imports by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/906
fix: login button padding by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/925
chore: change tutorial title by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/926
Comments resolved: Now using already present consoleSnackbar function by @Spyy004 in https://github.com/freeCodeCamp/mobile/pull/927
feat: disable code radio for iOS build by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/928
chore: release 3.3.2 by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/929

New Contributors

@Spyy004 made their first contribution in https://github.com/freeCodeCamp/mobile/pull/927

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v3.2.3...v3.3.2","What's Changed
feat: add ""Next"" button in pass panel by @Sembauke in link
fix: old state pass panel by @Sembauke in link
feat: introduce card widgets on landing page by @Sembauke in link
fix: login issues by @Nirajn2311 in link
fix: mobile curriculum test by @Nirajn2311 in link
feat: iOS deployment by @Nirajn2311 in link
fix: ios issues by @Sembauke in link
release(app): v3.3.1+30301 by @Nirajn2311 in link
fix: back button for challenge view by @Nirajn2311 in link
fix: update phone_ide imports by @Sembauke in link
fix: login button padding by @Sembauke in link
chore: change tutorial title by @Sembauke in link
Comments resolved: Now using already present consoleSnackbar function by @Spyy004 in link
feat: disable code radio for iOS build by @Nirajn2311 in link
chore: release 3.3.2 by @Sembauke in link
New Contributors
@Spyy004 made their first contribution in link
Full Changelog: link"
5,"What's Changed

feat(app): firebase crashlytics by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/883
release(app): v3.2.3+30203 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/884

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v3.2.2...v3.2.3","What's Changed
feat(app): firebase crashlytics by @Nirajn2311 in link
release(app): v3.2.3+30203 by @Nirajn2311 in link
Full Changelog: link"
6,"What's Changed

fix: old state when returning to block page by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/871
fix: author profile tutorial list widget by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/872
feat: option to email support login error by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/880
release(app): v3.2.2+30202 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/881

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v3.2.1...v3.2.2","What's Changed
fix: old state when returning to block page by @Sembauke in link
fix: author profile tutorial list widget by @Sembauke in link
feat: option to email support login error by @Nirajn2311 in link
release(app): v3.2.2+30202 by @Nirajn2311 in link
Full Changelog: link"
7,"What's Changed

feat(api): add 2 new podcasts by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/693
chore: add error message podcasts by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/692
feat: iOS by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/697
Fix: Spell Project correctly in the Learn grid view by @a2937 in https://github.com/freeCodeCamp/mobile/pull/714
action: mobile curriculum tests CI by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/702
fix(action): spec file location by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/723
feat: better search news by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/724
change article class/file names to tutorial  by @amitamrutiya2210 in https://github.com/freeCodeCamp/mobile/pull/763
fix: make app file debugable by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/761
fix: rename podcast models by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/760
chore: parse learn files by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/764
chore: parse news by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/765
chore: resutructure services by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/766
chore: house keeping by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/782
chore: update read me by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/777
feat: learn offline by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/767
chore: hide download button for now by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/783
chore/use right architecture learn by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/788
feat: tutorial bookmark service by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/789
action: update flutter version to 3.7.x by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/797
tests: unit test news bookmark service by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/796
fix: analyze errors by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/799
feat(app): load offline challenges by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/798
chore(api): downgrade node image to LTS version by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/812
fix(app): security update webview to custom tabs on privacy policy and donate by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/809
fix: back button outline by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/810
feat: Google Analytics by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/735
feat: native auth by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/704
feat(app): track web view location for GA by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/835
fix: newest bookmark ontop by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/834
release(app): v3.1.0+30100 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/836
fix: remove forum from sample.env by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/842
fix: bugs in latest release by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/837
fix: auth0 domain for release mode by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/844
release(app): v3.1.1+30101 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/845
fix: download UI by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/822
chore: record challenge id for GA by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/847
release(app): v3.1.2+30102 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/855
fix: editable region by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/843
chore: update to 3.2.0 by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/864
Fix of ""Unwanted gap between Code and Camp"" by @Wail-Mohammed in https://github.com/freeCodeCamp/mobile/pull/867
release(app): v3.2.1+30201 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/869

New Contributors

@a2937 made their first contribution in https://github.com/freeCodeCamp/mobile/pull/714
@amitamrutiya2210 made their first contribution in https://github.com/freeCodeCamp/mobile/pull/763
@Wail-Mohammed made their first contribution in https://github.com/freeCodeCamp/mobile/pull/867

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v3.0.1...v3.2.1","What's Changed
feat(api): add 2 new podcasts by @Nirajn2311 in link
chore: add error message podcasts by @Sembauke in link
feat: iOS by @Nirajn2311 in link
Fix: Spell Project correctly in the Learn grid view by @a2937 in link
action: mobile curriculum tests CI by @Nirajn2311 in link
fix(action): spec file location by @Nirajn2311 in link
feat: better search news by @Sembauke in link
change article class/file names to tutorial  by @amitamrutiya2210 in link
fix: make app file debugable by @Sembauke in link
fix: rename podcast models by @Sembauke in link
chore: parse learn files by @Sembauke in link
chore: parse news by @Sembauke in link
chore: resutructure services by @Sembauke in link
chore: house keeping by @Sembauke in link
chore: update read me by @Sembauke in link
feat: learn offline by @Sembauke in link
chore: hide download button for now by @Sembauke in link
chore/use right architecture learn by @Sembauke in link
feat: tutorial bookmark service by @Nirajn2311 in link
action: update flutter version to 3.7.x by @Nirajn2311 in link
tests: unit test news bookmark service by @Nirajn2311 in link
fix: analyze errors by @Nirajn2311 in link
feat(app): load offline challenges by @Nirajn2311 in link
chore(api): downgrade node image to LTS version by @Nirajn2311 in link
fix(app): security update webview to custom tabs on privacy policy and donate by @Sembauke in link
fix: back button outline by @Sembauke in link
feat: Google Analytics by @Nirajn2311 in link
feat: native auth by @Nirajn2311 in link
feat(app): track web view location for GA by @Nirajn2311 in link
fix: newest bookmark ontop by @Sembauke in link
release(app): v3.1.0+30100 by @Nirajn2311 in link
fix: remove forum from sample.env by @Sembauke in link
fix: bugs in latest release by @Nirajn2311 in link
fix: auth0 domain for release mode by @Nirajn2311 in link
release(app): v3.1.1+30101 by @Nirajn2311 in link
fix: download UI by @Sembauke in link
chore: record challenge id for GA by @Nirajn2311 in link
release(app): v3.1.2+30102 by @Nirajn2311 in link
fix: editable region by @Sembauke in link
chore: update to 3.2.0 by @Sembauke in link
Fix of ""Unwanted gap between Code and Camp"" by @Wail-Mohammed in link
release(app): v3.2.1+30201 by @Nirajn2311 in link
New Contributors
@a2937 made their first contribution in link
@amitamrutiya2210 made their first contribution in link
@Wail-Mohammed made their first contribution in link
Full Changelog: link"
8,"What's Changed

fix: certifications not caching by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/677
fix: text selection bar blending in with background by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/668
fix: wording read me by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/675
fix: different background colors for multifile editors by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/678
fix: filter out es6 and first block open if cache is empty by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/683
chore: improvements on challenge view by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/687
fix: disabled run button by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/690
release(app): v3.0.1+30001 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/691

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v3.0.0...v3.0.1","What's Changed
fix: certifications not caching by @Sembauke in link
fix: text selection bar blending in with background by @Sembauke in link
fix: wording read me by @Sembauke in link
fix: different background colors for multifile editors by @Sembauke in link
fix: filter out es6 and first block open if cache is empty by @Sembauke in link
chore: improvements on challenge view by @Sembauke in link
fix: disabled run button by @Sembauke in link
release(app): v3.0.1+30001 by @Nirajn2311 in link
Full Changelog: link"
9,"What's Changed

feat: new mobile design layout by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/524
feat: better preview by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/535
feat: updated syntax highlighter by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/544
fix: overflowing text in instructions and hints panel by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/523
fix: adjust title sizes again by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/536
fix: news test bug by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/545
chore: update android sdk version to 33 by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/547
fix: article tags by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/549
feat: learn service by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/514
fix: certification project data by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/548
fix: testing  by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/553
feat: navigate to next challenge by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/582
feat: challenge tests by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/589
fix: always display any instruciton or description by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/571
fix: do not hide appbar when editing by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/572
feat: show tests running by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/584
action: update flutter version to 3.3.x by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/605
fix: increase size of preview icon by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/604
feat: selectable text in panels by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/603
fix: appbar not showing correctly when instruction are active by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/611
feat: split challenge file logic and make tests by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/602
fix: mobile curriculum test by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/641
fix: multiple superblock issues by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/636
fix: push new view on reset by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/626
fix: use id for caching instead of challenge title by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/625
feat: implement editable region on mobile by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/617
fix: set show all superblock to false in sample.env by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/649
feat: gate keep users with version by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/564
feat: better syntax highlighting for descriptions and instructions by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/627
feat: custom alert with multiple types by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/655
fix: keep blocks open  by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/640
chore: disable login buttons by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/656
feat: show no progress warning in pass panel by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/659
fix: loading icon by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/660
fix: open challenges with special characters by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/661
fix: give fallback of false superblocks by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/664
fix: use right domain in production by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/665
release(app): v3.0.0+30000 by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/667

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v2.2.1...3.0.0","What's Changed
feat: new mobile design layout by @Sembauke in link
feat: better preview by @Sembauke in link
feat: updated syntax highlighter by @Nirajn2311 in link
fix: overflowing text in instructions and hints panel by @Nirajn2311 in link
fix: adjust title sizes again by @Sembauke in link
fix: news test bug by @Nirajn2311 in link
chore: update android sdk version to 33 by @Sembauke in link
fix: article tags by @Sembauke in link
feat: learn service by @Nirajn2311 in link
fix: certification project data by @Sembauke in link
fix: testing  by @Sembauke in link
feat: navigate to next challenge by @Nirajn2311 in link
feat: challenge tests by @Nirajn2311 in link
fix: always display any instruciton or description by @Sembauke in link
fix: do not hide appbar when editing by @Sembauke in link
feat: show tests running by @Sembauke in link
action: update flutter version to 3.3.x by @Nirajn2311 in link
fix: increase size of preview icon by @Nirajn2311 in link
feat: selectable text in panels by @Nirajn2311 in link
fix: appbar not showing correctly when instruction are active by @Sembauke in link
feat: split challenge file logic and make tests by @Sembauke in link
fix: mobile curriculum test by @Nirajn2311 in link
fix: multiple superblock issues by @Sembauke in link
fix: push new view on reset by @Sembauke in link
fix: use id for caching instead of challenge title by @Sembauke in link
feat: implement editable region on mobile by @Sembauke in link
fix: set show all superblock to false in sample.env by @Sembauke in link
feat: gate keep users with version by @Sembauke in link
feat: better syntax highlighting for descriptions and instructions by @Sembauke in link
feat: custom alert with multiple types by @Sembauke in link
fix: keep blocks open  by @Sembauke in link
chore: disable login buttons by @Sembauke in link
feat: show no progress warning in pass panel by @Nirajn2311 in link
fix: loading icon by @Nirajn2311 in link
fix: open challenges with special characters by @Nirajn2311 in link
fix: give fallback of false superblocks by @Sembauke in link
fix: use right domain in production by @Sembauke in link
release(app): v3.0.0+30000 by @Nirajn2311 in link
Full Changelog: link"
10,"What's Changed

fix: only fetch user when logged in by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/467
feat: highlighted challenge header by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/468
feat: highlighted instruction button when open by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/469
fix: pane ui by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/470
feat: instructions panel by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/481
chore(api): reduce container size by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/479
fix: log in flow by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/478
fix: enable dev wall again by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/499
fix: flutter errors learn by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/493
feat: multi file editing by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/498
feat: hints panel by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/488
chore: update docs and sample.env by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/486
fix: updated the UI of the progress bar in podcast by @Dexters-Hub in https://github.com/freeCodeCamp/mobile/pull/509
fix: make dropdown expanded by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/502
feat: better block ui by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/508
feat: pass panel by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/513
chore(api): create api commands at root level by @Nirajn2311 in https://github.com/freeCodeCamp/mobile/pull/480
feat: hide appbar button by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/507
feat: faster file loading by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/515
feat: drawer improvements and privacy page by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/520
chore: update to version 2.2.1 by @Sembauke in https://github.com/freeCodeCamp/mobile/pull/525

New Contributors

@Dexters-Hub made their first contribution in https://github.com/freeCodeCamp/mobile/pull/509

Full Changelog: https://github.com/freeCodeCamp/mobile/compare/v2.2.0...v2.2.1","What's Changed
fix: only fetch user when logged in by @Sembauke in link
feat: highlighted challenge header by @Sembauke in link
feat: highlighted instruction button when open by @Sembauke in link
fix: pane ui by @Sembauke in link
feat: instructions panel by @Nirajn2311 in link
chore(api): reduce container size by @Nirajn2311 in link
fix: log in flow by @Nirajn2311 in link
fix: enable dev wall again by @Sembauke in link
fix: flutter errors learn by @Sembauke in link
feat: multi file editing by @Sembauke in link
feat: hints panel by @Nirajn2311 in link
chore: update docs and sample.env by @Nirajn2311 in link
fix: updated the UI of the progress bar in podcast by @Dexters-Hub in link
fix: make dropdown expanded by @Sembauke in link
feat: better block ui by @Sembauke in link
feat: pass panel by @Nirajn2311 in link
chore(api): create api commands at root level by @Nirajn2311 in link
feat: hide appbar button by @Sembauke in link
feat: faster file loading by @Sembauke in link
feat: drawer improvements and privacy page by @Sembauke in link
chore: update to version 2.2.1 by @Sembauke in link
New Contributors
@Dexters-Hub made their first contribution in link
Full Changelog: link"
