Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Remove implicit form method calls (#290),0.38418764,Remove redundant form data in vue stub by @datlechin in https://github.com/laravel/breeze/pull/280,,0
Update CHANGELOG,0.4525048,Update versions (aa90bfd),,0
Apply fixes from StyleCI,0.38119715,Tailwind CSS v3 support (#110)﻿,,0
Migrate to modules (#246),0.41164038,Migrate to modules by @timacdonald in https://github.com/laravel/breeze/pull/246,,0
update config file,0.48563537,Update Tailwind config (de0cbf4),,0
Remove redundant form data in vue stub (#280),0.8485859,Remove redundant form data in vue stub by @datlechin in https://github.com/laravel/breeze/pull/280,,1
Update 1_Bug_report.yml,0.37618518,Update versions (aa90bfd),,0
Update and rename 1_Bug_report.md to 1_Bug_report.yml,0.33761704,"Update <Link> tags & implement <Head> management (title tag) (#90, 4dce8a8, 128fd28, #94)",,0
[1.x] Fix Pest test installation for Inertia stack (#279),0.65898335,Fix Pest test installation for Inertia stack by @jessarcher in https://github.com/laravel/breeze/pull/279,  Fix installation of Inertia-specific Pest tests   Add missing failure handler ,0
Update current_password rule in ProfileController (#278),0.73566526,Update current_password rule in ProfileController by @saade in https://github.com/laravel/breeze/pull/278,  update current_password rule   update current_password rule in inertia controller ,1
Fix ref in react TextInput (#277),0.78791296,Fix ref in react TextInput by @denis-n-ko in https://github.com/laravel/breeze/pull/277,Fix ref in react TextInput,1
[1.x] Uses Pest 2 (#274),0.58785766,Pest scaffolding (#99),  Uses Pest 2   Updates CI to use L10 only   Fixes unit stub ,0
wip,0.26771933,﻿,,0
[1.x] Add opt-in TypeScript support (#267),0.50249195,Add opt-in TypeScript support by @jessarcher in https://github.com/laravel/breeze/pull/267,  Add opt-in TypeScript support   Test TypeScript option in CI   Replace {} type with something safer   Update to TypeScript 5.0   Switch to new bundler moduleResolution   Fix Vue Modal maxWidth prop type   Update InstallsInertiaStacks.php   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,0
Fix password-update pest tests (#273),0.5668012,Fix password-update pest tests by @mtvbrianking in https://github.com/laravel/breeze/pull/273,  Fix password update pest tests   Update PasswordUpdateTest.php    Co-authored-by: Taylor Otwell taylor@laravel.com,0
[1.x] React - Simplify Form Handler (#268),0.78231007,React - Simplify Form Handler by @jessarcher in https://github.com/laravel/breeze/pull/268,  Remove handleOnChange functions   Fix default state of login remember checkbox ,1
Fix input focus on update password error (#269),0.6717849,React - Fix input focusing when password update fails by @jessarcher in https://github.com/laravel/breeze/pull/269,,0
Remove unnecessary text input wrapper (#270),0.7018088,React - Remove unnecessary text input wrapper by @jessarcher in https://github.com/laravel/breeze/pull/270,,1
Fix undefined class (#271),0.56438714,"React - Fix potential ""undefined"" class by @jessarcher in https://github.com/laravel/breeze/pull/271",,0
[1.x] Prop consistency (#272),0.40143448,Prop consistency by @jessarcher in https://github.com/laravel/breeze/pull/272,  Mark Checkbox checked prop as required   Remove unnecessary props   Improve prop definition consistency   Pass user object directly to authenticated layout   Destructure all used props   Formatting ,0
Adds type checking (#265),0.30421838,Use boolean() instead of filled() (#68),,0
remove unused function arguments in params (#264),0.4606409,API Stub EnsureEmailIsVerified Middleware: Remove unused function arguments in params by @raksbisht in https://github.com/laravel/breeze/pull/264,,0
Fix wrong field Id in ForgotPassword.jsx (#262),0.7867606,Fix input field Id in ForgotPassword.jsx by @tomdupont in https://github.com/laravel/breeze/pull/262,,1
Laravel adjust wording (#259),0.54902124,Laravel 9 Support (#119),,0
[1.x] Improve React components (#257),0.681988,Improve React components by @jessarcher in https://github.com/laravel/breeze/pull/257,  Improve component props   Update usage of components   Prevent adding an undefined class when no className is provided ,0
Update tests.yml,0.29031992,Update stubs/inertia/app case in installInertiaStack (#53),,0
[1.x] Update font and welcome page (#253),0.6385075,Update font and welcome page by @jessarcher in https://github.com/laravel/breeze/pull/253,  Update font and welcome page   Update text to match skeleton ,0
remove unused files from stubs (#255),0.6341504,Remove unused files from stubs by @emargareten in https://github.com/laravel/breeze/pull/255,,0
Allowed a hardcoded string to be localized (#254),0.53950953,Allowed a hardcoded string to be localized by @Wendelstein7 in https://github.com/laravel/breeze/pull/254,,0
[1.x] Allows to install --pest in Laravel 10 (#251),0.87151086,Allows to install --pest in Laravel 10 by @driesvints in https://github.com/laravel/breeze/pull/251,  Fail command when pest fails to install   Apply fixes from StyleCI   wip   Adapts Laravel 10 pest installation   Fixes syntax error   Fixes array usage   adjusts default argument   Update InstallCommand.php   Update InstallCommand.php   fix command    Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Nuno Maduro enunomaduro@gmail.com Co-authored-by: Taylor Otwell taylor@laravel.com,1
Add translation to placeholder in delete-user-form.blade.php (#250),0.8966435,Add translation to placeholder in delete-user-form.blade.php by @castrohenworx in https://github.com/laravel/breeze/pull/250,,1
remove specifying unnecessary __invoke method (#249),0.33058155,Update Inertia (c439176),,0
fix: use autocomplete for all fields to ensure password manager compatibility (#245),0.6112331,Use autocomplete for all fields for password manager compatibility by @lukearmstrong in https://github.com/laravel/breeze/pull/245,,0
Update tests.yml (#243),0.30350566,Update stubs/inertia/app case in installInertiaStack (#53),,0
add message,0.3635549,Add email (username) autocomplete (#51),,0
Inform user of dependency install process (#241),0.61924124,Inform user of dependency install process by @itxshakil in https://github.com/laravel/breeze/pull/241, Inform user of dependency install process  It informs the user that we are installing node dependencies. It would justify the blank delay screen while installing node dependencies.  Update InstallsBladeStack.php  Co-authored-by: Taylor Otwell taylor@laravel.com,0
