Index,Message,Description,Message Abstract,Description Abstract
1,Fixing typo (#10619),,Fixing typo (#10619),
2,chore: sort contributors list,,chore: sort contributors list,
3,docs(DEVELOPMENT.md): fix typos (#10613),,docs(DEVELOPMENT.md): fix typos (#10613),
4,Merge branch 'release-next',,Merge branch 'release-next',
5,chore: Update version for release (#10601),  chore: Update version for release   Update changelogs    Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com Co-authored-by: Matt Brophy matt@brophy.org,chore: Update version for release (#10601),chore: Update version for release Update changelogs Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com Co-authored-by: Matt Brophy matt@brophy.org
6,Exit prerelease mode,,Exit prerelease mode,
7,More docs updates,,More docs updates,
8,Update docs for future flags,,Update docs for future flags,
9,chore: Update version for release (pre) (#10597),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,chore: Update version for release (pre) (#10597),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com
10,Add future.v7_startTransition flag (#10596),,Add future.v7_startTransition flag (#10596),
11,chore: Update version for release (pre) (#10589),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,chore: Update version for release (pre) (#10589),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com
12,Fix webpack/terser startTransition minification bug in production mode (#10588),,Fix webpack/terser startTransition minification bug in production mode (#10588),
13,Enter prerelease mode,,Enter prerelease mode,
14,Merge branch 'release-next',,Merge branch 'release-next',
15,chore: Update version for release (#10577),,chore: Update version for release (#10577),
16,Exit prerelease mode,,Exit prerelease mode,
17,chore: Update version for release (pre) (#10575),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,chore: Update version for release (pre) (#10575),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com
18,Fix feature detection of React.startTransition (#10569),,Fix feature detection of React.startTransition (#10569),
19,Enter prerelease mode,,Enter prerelease mode,
20,Merge branch 'release-next',,Merge branch 'release-next',
21,chore: Update version for release (#10564),  chore: Update version for release   Update changelogs    Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com Co-authored-by: Matt Brophy matt@brophy.org,chore: Update version for release (#10564),chore: Update version for release Update changelogs Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com Co-authored-by: Matt Brophy matt@brophy.org
22,Exit prerelease mode,,Exit prerelease mode,
23,Update the examples deps.,Should fix the issues with StackBlitz,Update the examples deps.,Should fix the issues with StackBlitz
24,chore: Update version for release (pre) (#10554),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,chore: Update version for release (pre) (#10554),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com
25,Use react concurrent mode state in RouterProvider (#10553),  Use react concurrent mode state in RouterProvider   Bum bundle ,Use react concurrent mode state in RouterProvider (#10553),Use react concurrent mode state in RouterProvider Bum bundle
26,chore: Update version for release (pre) (#10552),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,chore: Update version for release (pre) (#10552),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com
27,Enter prerelease mode,,Enter prerelease mode,
28,Merge branch 'main' into release-next,,Merge branch 'main' into release-next,
29,Allow revalidations to complete if submitting fetcher is deleted (#10535),,Allow revalidations to complete if submitting fetcher is deleted (#10535),
30,chore: format,,chore: format,
31,docs(start/tutorial): small update (#10548),,docs(start/tutorial): small update (#10548),
32,fix MD link,,fix MD link,
33,Clarify FAQ about pathless layout routes in data router upgrade doc,,Clarify FAQ about pathless layout routes in data router upgrade doc,
34,docs(start/overview): fix props in 'Nested Routes' section (#10537),,docs(start/overview): fix props in 'Nested Routes' section (#10537),
35,chore: upgrade jest and jsdom (#10453),"This lets us remove a polyfill and some other hacks, and brings along some additional jsdom features which will facilitate testing fixes to submitter serialization. Note:  * jsdom is making it harder to stub things, so we inject a jest-friendly    window into the router. I'm not a huge fan of DI when used solely for the    sake of testing, but this seems less terrible than other approaches (e.g.    (patch-package-ing jsdom, or monkey-patching Object.defineProperty) 🙃  * We use a yarn resolution to get the latest jsdom, despite the latest    jest pinning it at ^20.0.0. Per the maintainers, this is fine as jest    doesn't need any code changes to work with new jsdom, and there are no    concrete plans yet to ship a major version.",chore: upgrade jest and jsdom (#10453),"This lets us remove a polyfill and some other hacks, and brings along some additional jsdom features which will facilitate testing fixes to submitter serialization. Note:  * jsdom is making it harder to stub things, so we inject a jest-friendly    window into the router. I'm not a huge fan of DI when used solely for the    sake of testing, but this seems less terrible than other approaches (e.g.    (patch-package-ing jsdom, or monkey-patching Object.defineProperty) 🙃  * We use a yarn resolution to get the latest jsdom, despite the latest    jest pinning it at ^20.0.0. Per the maintainers, this is fine as jest    doesn't need any code changes to work with new jsdom, and there are no    concrete plans yet to ship a major version."
36,Define loaders and actions more clearly (#10531),,Define loaders and actions more clearly (#10531),
37,Add action docs on multiple actions (#10527),,Add action docs on multiple actions (#10527),
38,chore: format,,chore: format,
39,Ensure revalidations happen when hash is present (#10516),,Ensure revalidations happen when hash is present (#10516),
40,throw on non-serializable state PUSH navigation (#10427),,throw on non-serializable state PUSH navigation (#10427),
41,chore: format,,chore: format,
42,Update examples to use react-jsx (#10515),,Update examples to use react-jsx (#10515),
43,Add missing Route import to docs,,Add missing Route import to docs,
44,Wrap internal router state updates with React.startTransition (#10438),,Wrap internal router state updates with React.startTransition (#10438),
45,Merge branch 'release-next' into dev,,Merge branch 'release-next' into dev,
46,Merge branch 'release-next',,Merge branch 'release-next',
47,chore: Update version for release (#10500),,chore: Update version for release (#10500),
48,Exit prerelease mode,,Exit prerelease mode,
49,Add docs on migrating from BrowserRouter to RouterProvider (#10376),Co-authored-by: Michaël De Boey info@michaeldeboey.be,Add docs on migrating from BrowserRouter to RouterProvider (#10376),Co-authored-by: Michaël De Boey info@michaeldeboey.be
50,chore: Update version for release (pre) (#10495),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,chore: Update version for release (pre) (#10495),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com
51,Enter prerelease mode,,Enter prerelease mode,
52,Merge branch 'main' into release-next,,Merge branch 'main' into release-next,
53,Do not short circuit loaders on initial load when hash is present (#10493),,Do not short circuit loaders on initial load when hash is present (#10493),
54,Fix basename duplication in RouterProvider descendant routes (#10492),,Fix basename duplication in RouterProvider descendant routes (#10492),
55,Export SetURLSearchParams type (#10444),,Export SetURLSearchParams type (#10444),
56,"Revert ""sorry...""",This reverts commit 77ec0532fca7628f0b1b92fd989eb807ff7a84d1.,"Revert ""sorry...""",This reverts commit 77ec0532fca7628f0b1b92fd989eb807ff7a84d1.
57,"Revert ""lol""",This reverts commit 2e00eea0d4d4034578afb929555594642c3d7f9e.,"Revert ""lol""",This reverts commit 2e00eea0d4d4034578afb929555594642c3d7f9e.
58,Corrected a grammatical mistake in a sentence (#10483),,Corrected a grammatical mistake in a sentence (#10483),
59,chore: format,,chore: format,
60,lol,,lol,
61,sorry...,,sorry...,
62,chore: sort contributors list,,chore: sort contributors list,
63,fix: grammatical error in documentation (#10462),,fix: grammatical error in documentation (#10462),
64,chore: sort contributors list,,chore: sort contributors list,
